,word1,word2,relation,freq.
13081,apartment,apartments,synonymy,3
9945,cabinet,kitchen storage,not-covered,3
9949,airplane,mono plane,hypernymy.1,3
8991,bun,hot dog and fries,not-covered,3
11500,desk,computers,crossclassified,3
19445,table,file,crossclassified,3
9953,pizza,breakfast,crossclassified,3
19947,counter,bar counter,not-covered,3
9965,lamp,table,co-hyponymy,3
8586,bridge,train platform,not-covered,3
8584,bridge,train station,crossclassified,3
13080,apartment,pole,crossclassified,3
8995,lady,walker,crossclassified,3
13082,apartment,home,co-hyponymy,3
9001,grill,bread,crossclassified,3
11495,motorcycle,side mirror,not-covered,3
8996,lady,guy,crossclassified,3
13084,hat,bowler hat,hypernymy.1,3
22394,potato,pizza,crossclassified,3
8572,house,storefront,crossclassified,3
19527,motorcycle,woman,crossclassified,3
21391,dress,cat sweater,not-covered,3
20786,boy,tourist,crossclassified,3
15759,fork,path,crossclassified,3
15760,fork,walkway,crossclassified,3
15279,flower,tulip,crossclassified,3
20096,truck,board,crossclassified,3
9529,rice,pizza,crossclassified,3
11451,cat,bath tube,not-covered,3
22353,pew,table,not-covered,3
8513,chair,wall,crossclassified,3
8519,girl,fruit,crossclassified,3
21656,giraffe,skydiving,crossclassified,3
15781,horse,horse and rider,not-covered,3
20748,t-shirt,laptop,crossclassified,3
22852,torte,bowl,crossclassified,3
10077,horse,fountain,crossclassified,3
14327,cabinet,bathroom,crossclassified,3
13169,truck,crane,crossclassified,3
15782,cake,gift,crossclassified,3
11413,moose,doll,crossclassified,3
103,tub,dog,crossclassified,3
11982,hut,shed,crossclassified,3
8512,chair,seating,crossclassified,3
11424,boy,little league player,not-covered,3
12585,castle,parliament,crossclassified,3
9036,bedframe,blanket,crossclassified,3
23079,grill,hands,crossclassified,3
11403,moose,goat,crossclassified,3
23082,jar,smoothie,crossclassified,3
19239,knife,bread knife,hypernymy.1,3
14764,motorcycle,harley,not-covered,3
11985,van,camper,hypernymy.2,3
11397,suv,police car,co-hyponymy,3
23088,shirt,flag,crossclassified,3
22338,hood,boy,crossclassified,3
9505,man,husband,crossclassified,3
15779,house,facade,crossclassified,3
14757,outhouse,doghouse,co-hyponymy,3
13127,bed,surfboard,crossclassified,3
10058,pan,vegetable,crossclassified,3
11450,moped,motor bike,hypernymy.2,3
105,tub,bed,crossclassified,3
11967,bathtub,counter,crossclassified,3
10054,boy,trouser,crossclassified,3
8533,girl,car,crossclassified,3
14546,tie,face,crossclassified,3
8532,sauce,marinara,hypernymy.1,3
12598,motorcycle,table,crossclassified,3
13135,blazer,phone,crossclassified,3
11436,bed,wire,crossclassified,3
9019,skater,male,crossclassified,3
15773,train,board,crossclassified,3
19439,airplane,airbus,hypernymy.1,3
20755,pie,cookie,crossclassified,3
14754,outhouse,shed,co-hyponymy,3
14111,curtain,pole,crossclassified,3
10060,bridge,man,crossclassified,3
14755,outhouse,building,hypernymy.2,3
13146,tortilla,burrito,crossclassified,3
11973,pasta,bowl,crossclassified,3
21369,house,floor,crossclassified,3
19959,van,hat,crossclassified,3
11429,bowl,toys,crossclassified,3
9023,rice,toy,crossclassified,3
20085,counter,doughnuts,crossclassified,3
20756,house,steeple,crossclassified,3
12268,coat,bed,crossclassified,3
19004,stand,entertainment center,crossclassified,3
450,child,donut,crossclassified,3
18626,girl,sister,hypernymy.1,3
18961,dresser,knob,crossclassified,3
24747,dog,all,crossclassified,3
18444,bookcase,keyboard,crossclassified,3
17490,chair,bedsheets,not-covered,3
17077,sheep,shirt,crossclassified,3
17254,cup,wood,crossclassified,3
1979,pan,doughnuts,crossclassified,3
5951,dish,fruit bowl,not-covered,3
5511,truck,bat,crossclassified,3
17717,cat,apple,crossclassified,3
16248,lady,cooling glass,not-covered,3
5513,truck,boy,crossclassified,3
17494,bowl,macaroni and cheese,crossclassified,3
5947,sandwich,taco,crossclassified,3
5520,shirt,inner,crossclassified,3
6514,woman,sea skating board,not-covered,3
5525,child,snow,crossclassified,3
5946,sandwich,wrap,hypernymy.1,3
655,woman,court,crossclassified,3
5529,jet,motorbike,crossclassified,3
3646,dress,pant,crossclassified,3
7121,shirt,handbag,crossclassified,3
525,toddler,brush,crossclassified,3
4270,desk,rack,crossclassified,3
17710,cabinet,teddy bear,crossclassified,3
6522,knife,folding knife,not-covered,3
5535,truck,semitrailer,crossclassified,3
6496,spreader,glider,crossclassified,3
24982,sari,woman,crossclassified,3
2027,girl,blanket,crossclassified,3
23682,gown,bear,crossclassified,3
17259,bridge,dog,co-hyponymy,3
16222,furniture,hutch,crossclassified,3
1927,bun,bowl,crossclassified,3
5479,child,computer,crossclassified,3
17486,cabinet,tie,crossclassified,3
1928,bun,lunch,crossclassified,3
18450,table,bears,crossclassified,3
7185,table,cellphone,crossclassified,3
671,carpet,buffet,crossclassified,3
3627,gentleman,woman,crossclassified,3
7178,rug,carpeting,synonymy,3
16228,furniture,armoire,hypernymy.1,3
4333,girl,broccoli,crossclassified,3
18448,table,snack,crossclassified,3
5482,bread,bread slice,not-covered,3
5962,gentleman,farmer,crossclassified,3
4321,man,wall,crossclassified,3
1951,drape,smock,crossclassified,3
7170,pizza,lunch,crossclassified,3
5486,cap,mobile phone,crossclassified,3
25524,guy,scatting board,not-covered,3
3628,drapery,wall,crossclassified,3
18714,bed,sofa bed,crossclassified,3
16234,pinafore,toy,not-covered,3
4317,overpass,structure,hypernymy.2,3
5498,girl,elephant,crossclassified,3
25522,girl,sofa,crossclassified,3
7117,bowl,jar,co-hyponymy,3
16647,dress,tattoo,crossclassified,3
7039,shirt,elbow,crossclassified,3
24343,shirt,wine,crossclassified,3
344,child,goat,co-hyponymy,3
18940,palace,parliament,crossclassified,3
2091,vase,decor,crossclassified,3
404,hood,automobile,crossclassified,3
18938,palace,cathedral,crossclassified,3
18703,infielder,shoe,not-covered,3
4191,bridge,umbrella,crossclassified,3
5919,biscuit,roll,crossclassified,3
3673,table,toothbrush,crossclassified,3
7053,pan,peel,crossclassified,3
4184,kid,gamer,crossclassified,3
2107,jacket,mike,crossclassified,3
4183,kid,controller,crossclassified,3
3680,bread,toppings,crossclassified,3
17111,forward,t-shirt,not-covered,3
5914,cake,art,crossclassified,3
6555,man,police officer,crossclassified,3
3683,counter,bag,crossclassified,3
5905,pizza,advertisement,crossclassified,3
5593,soup,bread,crossclassified,3
5594,car,house,crossclassified,3
17514,hotel,bus,crossclassified,3
2771,hat,shirt,crossclassified,3
16750,chair,vase,crossclassified,3
17516,hotel,apartments,crossclassified,3
18936,palace,tower,crossclassified,3
3688,bird,sculpture,crossclassified,3
7060,kid,bed,crossclassified,3
6546,man,hitter,crossclassified,3
5941,truck,box,crossclassified,3
24777,catcher,pants,crossclassified,3
17085,table,fire,crossclassified,3
7113,bowl,case,co-hyponymy,3
17502,bull,bovine,hypernymy.2,3
2805,shirt,arms,crossclassified,3
2038,carpet,cup,crossclassified,3
2039,carpet,tile floor,not-covered,3
17087,curtain,bathtub,crossclassified,3
2802,pony,donkey,crossclassified,3
5546,man,hiker,crossclassified,3
17704,bed,bird,crossclassified,3
4234,bread,fries,crossclassified,3
16259,dugout,hut,co-hyponymy,3
5549,surfer,person,hypernymy.2,3
650,cow,heifer,hypernymy.1,3
7092,pitcher,guy,crossclassified,3
2800,mouse,keyboard,crossclassified,3
17701,carpet,charger,crossclassified,3
18947,train,antique train,not-covered,3
18202,cabinet,builtin,not-covered,3
6542,basin,wash basin,synonymy,3
16761,cabinet,kitchenettes,crossclassified,3
18434,forward,dress,not-covered,3
5934,truck,luggage,crossclassified,3
7072,man,boyfriend,hypernymy.1,3
2071,taxi,taxicab,synonymy,3
24349,chair,candle,crossclassified,3
5554,tub,washroom,crossclassified,3
17736,loveseat,table,crossclassified,3
17737,motorcycle,cap,crossclassified,3
3620,girl,bread,crossclassified,3
3560,guy,eyeglasses,crossclassified,3
4425,train,boxcars,crossclassified,3
3573,bird,brat,crossclassified,3
4421,giraffe,food,crossclassified,3
25000,child,tress,crossclassified,3
5988,aircraft,propeller plane,hypernymy.1,3
16184,train,steam engine,crossclassified,3
6430,woman,carrot,crossclassified,3
4415,suv,mirror,crossclassified,3
6432,horse,sea,crossclassified,3
701,coat,sweet,crossclassified,3
261,carpet,bed skirt,not-covered,3
1818,pan,fruit,crossclassified,3
1819,pan,baking dish,not-covered,3
6434,horse,sculpture,crossclassified,3
24708,child,soccer player,crossclassified,3
2570,garage,car,crossclassified,3
5984,bridge,structure,hypernymy.2,3
17268,bed,pyjamas,crossclassified,3
7300,bowl,lunch,crossclassified,3
4398,woman,wire,crossclassified,3
2922,boat,toy boat,not-covered,3
5405,woman,female athlete,not-covered,3
5407,kid,blue jeans,crossclassified,3
17757,bathtub,sing,crossclassified,3
7298,vulture,eagle,co-hyponymy,3
699,coat,gloves,crossclassified,3
7295,bed,top,crossclassified,3
5379,skater,rider,crossclassified,3
23611,castle,westminster,crossclassified,3
5472,curtain,cup,crossclassified,3
710,dresser,console,co-hyponymy,3
716,shirt,headphone,crossclassified,3
1734,helmet,head,crossclassified,3
17279,table,steel,crossclassified,3
7361,train,machine,crossclassified,3
6412,shirt,green shirt,not-covered,3
4445,girl,diner,crossclassified,3
1746,car,old car,not-covered,3
4441,dress,bracelet,crossclassified,3
6003,dish,apple,crossclassified,3
18801,motorcycle,boat,crossclassified,3
4438,lady,biker,not-covered,3
5358,sauce,eggs,crossclassified,3
17769,pig,rodent,crossclassified,3
4436,girl,teddy bear,crossclassified,3
7349,dugout,cage,crossclassified,3
7348,dugout,stage,crossclassified,3
1760,shelter,shack,hypernymy.1,3
5361,sauce,breakfast,crossclassified,3
18332,furniture,table and chairs,not-covered,3
3553,bun,hamburger bun,hypernymy.1,3
5365,tent,dress,crossclassified,3
5997,coat,table,crossclassified,3
5370,dress,sundress,hypernymy.1,3
5371,boy,birthday boy,not-covered,3
25228,bench,duck,crossclassified,3
17763,lady,caller,crossclassified,3
18460,cabinet,memorabilia,crossclassified,3
5409,kid,skating board,not-covered,3
23633,man,snakes,crossclassified,3
18980,garage,horse,crossclassified,3
17052,rug,man,crossclassified,3
3602,bed,steel,crossclassified,3
1872,gentleman,suit,crossclassified,3
1879,girl,eating,crossclassified,3
17264,boy,top,crossclassified,3
2889,wine,cup,crossclassified,3
4361,jacket,tennis racket,crossclassified,3
23650,donut,kerchief,crossclassified,3
18816,scooter,wheelchair,crossclassified,3
4360,jacket,bat,crossclassified,3
24377,cooker,oven door,not-covered,3
5447,squirrel,statue,crossclassified,3
16211,car,crosswalk,crossclassified,3
17742,motorcycle,person,crossclassified,3
17263,boy,cloth,crossclassified,3
680,skateboarder,ski board,not-covered,3
18716,chair,coffee table,crossclassified,3
3612,brat,sausage,hypernymy.2,3
23657,boy,male toddler,not-covered,3
18818,counter,flowerpot,crossclassified,3
7236,girl,pedestrian,crossclassified,3
2886,kid,snowboarder,crossclassified,3
7228,lady,cat,co-hyponymy,3
5464,sandwich,breakfast,crossclassified,3
7225,cabbage,bun,crossclassified,3
4342,boy,legs,crossclassified,3
5470,dog,bench,crossclassified,3
2884,coat,id card,not-covered,3
18813,truck,airplane,crossclassified,3
1866,desk,headset,crossclassified,3
1865,pot,flower vase,not-covered,3
16201,cereal,desert,crossclassified,3
17053,duck,see,crossclassified,3
5414,dress,jumper,hypernymy.1,3
697,coat,burger,crossclassified,3
25566,lady,kite,crossclassified,3
7281,jacket,banana,crossclassified,3
1837,guy,shoes,crossclassified,3
7279,spatula,server,crossclassified,3
17267,car,front end,crossclassified,3
4384,boat,bowl,co-hyponymy,3
7277,woman,woman tennis player,not-covered,3
5415,dress,pizza,crossclassified,3
2910,counter,flower jar,not-covered,3
23999,bed,mellow,crossclassified,3
2896,lady,eyeglasses,crossclassified,3
18809,guy,beard,crossclassified,3
1849,bed,cart,crossclassified,3
5981,boy,boat,crossclassified,3
23997,skater,dress,crossclassified,3
24719,tent,rider,crossclassified,3
16789,hood,window,crossclassified,3
2906,motorbike,transportation,crossclassified,3
7262,plane,land,crossclassified,3
7261,plane,landing strip,crossclassified,3
25238,desk.,mobile,not-covered,3
25240,desk.,phone,not-covered,3
18974,bowl,pizza,crossclassified,3
6567,cake,flag,crossclassified,3
25477,carpet,plants,crossclassified,3
1726,woman,sports man,crossclassified,3
3799,tent,skateboard,crossclassified,3
24286,aircraft,toy,crossclassified,3
3801,hat,tie,crossclassified,3
590,dress,arm,crossclassified,3
375,duck,duckling,hypernymy.1,3
23819,woman,reflection,crossclassified,3
3960,desk,ballplayer,crossclassified,3
18692,female,sunglasses,crossclassified,3
2636,jet,aero plane,hypernymy.2,3
23824,truck,teak,crossclassified,3
3953,woman,gloves,crossclassified,3
3948,girl,people,crossclassified,3
6818,table,beverages,crossclassified,3
6816,table,wineglass,crossclassified,3
6813,coat,girl,crossclassified,3
5725,house,firetruck,not-covered,3
2622,jacket,harness,crossclassified,3
23831,carpet,motorbike,crossclassified,3
16400,shirt,comb,crossclassified,3
6806,bowl,veg food,not-covered,3
5736,cheese,filling,crossclassified,3
6804,bowl,entree,crossclassified,3
16398,carpet,bear,crossclassified,3
25326,cabinet,wine,crossclassified,3
18889,man,long boarder,not-covered,3
3815,toast,cheese,crossclassified,3
6801,girl,hand band,not-covered,3
5839,salad,noodles,crossclassified,3
2641,car,cargo,crossclassified,3
17164,curtain,pool,crossclassified,3
17173,cabinet,box,co-hyponymy,3
18138,sofa,flowerpot,crossclassified,3
6860,automobile,train,crossclassified,3
18372,plane,pant,crossclassified,3
2332,bench,dove,crossclassified,3
24296,car,trepan,crossclassified,3
2336,boy,television,crossclassified,3
24844,girl,bicyclist,crossclassified,3
17153,tub,lateen,crossclassified,3
2660,girl,tooth brush,crossclassified,3
16411,bull,jacket,crossclassified,3
4003,cabbage,plant,hypernymy.2,3
2657,dress,mobile phone,crossclassified,3
2343,girl,cup,crossclassified,3
16677,lady,gown,crossclassified,3
6659,pot,barrel,co-hyponymy,3
2349,boat,catamaran,crossclassified,3
6842,salad,leaf,crossclassified,3
6841,boy,wake boarder,not-covered,3
6665,pot,can,synonymy,3
17617,house,nameplate,crossclassified,3
17158,dog,doggy,hypernymy.1,3
2356,bathtub,tap,crossclassified,3
6839,boy,windsurfer,not-covered,3
17161,airplane,jacket,crossclassified,3
6670,pot,vat,co-hyponymy,3
17611,house,condo,co-hyponymy,3
2372,robe,t-shirt,crossclassified,3
5701,seagull,pigeon,crossclassified,3
17553,couch,fruit,crossclassified,3
3924,dress,strap,crossclassified,3
2765,person,t-shirt,crossclassified,3
23852,outhouse,water closet,crossclassified,3
16384,chair,food,crossclassified,3
2525,girl,cyclist,crossclassified,3
2527,girl,bicycle,crossclassified,3
16383,chair,burger,crossclassified,3
6764,lamp,post,crossclassified,3
18876,dresser,armor,crossclassified,3
566,tie,t-shirt,crossclassified,3
5793,man,kids,crossclassified,3
2583,boy,furniture,crossclassified,3
18683,jet,airline,crossclassified,3
16371,dude,bench,crossclassified,3
16382,chair,sandwich,crossclassified,3
6756,lady,lade,crossclassified,3
23861,cow,fur,crossclassified,3
2544,car,toilet seat,crossclassified,3
2547,car,bowl,crossclassified,3
25356,child,student,crossclassified,3
2550,boy,son,synonymy,3
3845,table,hat,crossclassified,3
17193,train,road,crossclassified,3
2577,cabinet,medicine cabinet,hypernymy.1,3
16695,child,sister,crossclassified,3
16694,spoon,banana,crossclassified,3
6738,guy,friend,crossclassified,3
17201,bottle,pepsi,crossclassified,3
23869,aquarium,water,crossclassified,3
16376,bowl,ice cream,crossclassified,3
18681,bed,watch,crossclassified,3
5787,animal,horse,hypernymy.1,3
5838,train,commuter train,hypernymy.1,3
5786,animal,goat,hypernymy.1,3
24272,truck,cor,not-covered,3
23835,car,fire engine,crossclassified,3
3919,woman,spectacle,crossclassified,3
6698,ketchup,catsup,synonymy,3
5836,bird,myna,hypernymy.1,3
5764,carpet,cake,crossclassified,3
18690,table,suitcase,crossclassified,3
377,duck,dove,co-hyponymy,3
18689,table,backpack,crossclassified,3
6793,apple,apples,synonymy,3
2464,counter,mouse,co-hyponymy,3
3821,carpet,tripod,crossclassified,3
24878,boy,tress,crossclassified,3
3833,grill,tomato,crossclassified,3
16360,apple,apple core,not-covered,3
3895,van,apron,crossclassified,3
2482,bridge,lake,crossclassified,3
23846,outhouse,closet,crossclassified,3
3885,cheese,box,crossclassified,3
5776,bottle,container,hypernymy.2,3
575,dresser,shelve,crossclassified,3
3837,guy,dad,crossclassified,3
17560,cat,wooden leg,crossclassified,3
573,dresser,countertop,crossclassified,3
5823,table,tea,crossclassified,3
17190,house,belt,co-hyponymy,3
567,man,trainer,crossclassified,3
17151,cup,cappuccino,crossclassified,3
2670,lady,gloves,crossclassified,3
4014,shirt,lanyard,crossclassified,3
6989,soup,beans,crossclassified,3
17126,chair,remote control,crossclassified,3
17661,table,railing,crossclassified,3
4113,counter,shampoo,crossclassified,3
16663,backstop,player,hypernymy.2,3
4112,sugar,heart,crossclassified,3
18930,furniture,room,crossclassified,3
5887,dress,food,crossclassified,3
6980,child,lady,crossclassified,3
6979,bowl,dog bowl,not-covered,3
2180,sandwich,chicken sandwich,hypernymy.1,3
2183,guy,runner,crossclassified,3
2184,guy,sun class,not-covered,3
17130,cabinet,kitchen top,not-covered,3
18846,dugout,canopy,crossclassified,3
5886,dress,baby,crossclassified,3
6973,motorcycle,4 wheeler,not-covered,3
5636,lady,video gamer,not-covered,3
628,raincoat,woman,crossclassified,3
6967,bottle,ale,crossclassified,3
24943,forward,remote,not-covered,3
16301,chowder,bowl,not-covered,3
4103,pan,vegetables,crossclassified,3
5639,curtain,stage,crossclassified,3
5642,curtain,backdrop,crossclassified,3
2204,pot,wok,crossclassified,3
6598,carpet,suit,crossclassified,3
23769,jet,complainer,crossclassified,3
2751,house,girl,crossclassified,3
2156,counter,cream,crossclassified,3
3785,booth,shirt,crossclassified,3
4129,jacket,umbrella,crossclassified,3
5607,cow,pig,crossclassified,3
6574,toddler,human,crossclassified,3
192,plane,space shuttle carrier,not-covered,3
7028,desk.,electronics,not-covered,3
2763,person,tennis player,hypernymy.1,3
23741,tofu,sandwich,crossclassified,3
5611,skateboarder,teen,crossclassified,3
2762,person,girl,hypernymy.1,3
5614,vegetable,veg,synonymy,3
25472,bird,prey,crossclassified,3
7011,truck,army truck,not-covered,3
24331,bread,crepe,crossclassified,3
6585,wheelchair,wheel,crossclassified,3
258,child,sunglasses,crossclassified,3
18093,lady,chef,crossclassified,3
2140,dough,sauce,crossclassified,3
18095,maker,coffee,crossclassified,3
18099,maker,appliance,crossclassified,3
4139,guy,talker,crossclassified,3
18418,table,boy,crossclassified,3
17238,booth,soundboard,crossclassified,3
18646,lady,electronics,crossclassified,3
6589,woman,zookeeper,not-covered,3
5894,taxi,automobile,hypernymy.2,3
3704,shed,shelter,crossclassified,3
6997,dress,watch,crossclassified,3
6995,dress,electronics,crossclassified,3
17134,bookcase,wood,crossclassified,3
3742,lady,sweatshirt,crossclassified,3
6949,hut,cabana,crossclassified,3
4088,man,boat,crossclassified,3
6630,van,vehicle door,not-covered,3
24832,flower,bench,crossclassified,3
2262,overpass,bus,crossclassified,3
4059,baguette,bread,hypernymy.2,3
4053,man,walker,crossclassified,3
23793,jeep,bag,crossclassified,3
5665,dress,suitcase,crossclassified,3
4052,house,hotel,co-hyponymy,3
4051,house,ship,crossclassified,3
5865,boy,brother,crossclassified,3
4047,boy,baseball hat,not-covered,3
4044,t-shirt,donut,crossclassified,3
2277,beer,beverage,hypernymy.2,3
3773,table,food item,not-covered,3
23796,jeep,luggage,crossclassified,3
17145,bed,cake,crossclassified,3
542,pan,pizza plate,not-covered,3
4037,ship,barge,crossclassified,3
24227,horse,show horse,not-covered,3
24839,train,tire an,not-covered,3
4029,body,person,hypernymy.1,3
5672,bathtub,bathing tub,synonymy,3
6869,truck,cab,crossclassified,3
6866,man,shoes,crossclassified,3
4025,body,tennis player,crossclassified,3
3784,boy,baseball bat,crossclassified,3
17540,curtain,restroom,crossclassified,3
24831,flower,chair,crossclassified,3
6897,shirt,automobile,crossclassified,3
6898,man,politician,crossclassified,3
2707,desk,cubicle desk,not-covered,3
16426,table,jug,crossclassified,3
627,raincoat,person,crossclassified,3
6937,jacket,cow,crossclassified,3
16669,backstop,ball,crossclassified,3
4078,woman,eye glasses,crossclassified,3
16737,pesto,plate,not-covered,3
17650,boat,platform,crossclassified,3
6933,jacket,sheep,crossclassified,3
23780,tomato,knife,crossclassified,3
2230,head,horse head,crossclassified,3
17648,boat,flower,crossclassified,3
6926,horse,mare,hypernymy.1,3
6617,girl,tennis racket,crossclassified,3
17142,bird,black bird,hypernymy.1,3
6922,shirt,glasses,crossclassified,3
17643,table,bed cover,crossclassified,3
6917,tub,shower,crossclassified,3
5654,seat,toilet seat,hypernymy.1,3
16419,house,gate,crossclassified,3
6912,counter,lower cabinetry,not-covered,3
3767,lady,necklace,crossclassified,3
6624,man,strap,crossclassified,3
18116,beef,roast,crossclassified,3
24829,house,overhang,crossclassified,3
6625,man,toilet,crossclassified,3
2251,car,elephant,crossclassified,3
6408,milk,banana,crossclassified,3
2925,counter,counter sink,crossclassified,3
17778,bed,stretcher,crossclassified,3
6277,counter,sink and counter,not-covered,3
1259,duck,animal,hypernymy.2,3
16061,sectional,seating,crossclassified,3
7686,chair,sweater,crossclassified,3
1260,bread,flatbread,hypernymy.1,3
16064,sectional,chairs,crossclassified,3
1262,bread,dish,crossclassified,3
4750,carpet,screen,crossclassified,3
24483,tub,child,crossclassified,3
4749,carpet,carpet floor,not-covered,3
3174,guy,plumber,crossclassified,3
1269,cap,lid,co-hyponymy,3
24073,carpeting,bag,crossclassified,3
5113,restaurant,mirror,crossclassified,3
4745,stingray,ray,hypernymy.2,3
17394,tarpon,arena,not-covered,3
5117,cake,bed,crossclassified,3
6104,dress,mirror,crossclassified,3
228,man,farmer,crossclassified,3
5124,chair,swimsuit,crossclassified,3
3402,photographer,planes,crossclassified,3
23470,oatmeal,cereal,crossclassified,3
1284,couch,mobile,crossclassified,3
24140,boat,sp,not-covered,3
6276,pizza,vegetable,crossclassified,3
17874,shed,entrance,crossclassified,3
1254,woman,headband,crossclassified,3
25723,goalie,shoe,crossclassified,3
18300,curtain,goat,crossclassified,3
19074,dresser,rug,crossclassified,3
23438,shawl,blouse,crossclassified,3
7727,suv,zebra,crossclassified,3
23439,shawl,sweater,crossclassified,3
4798,carpet,cycle,crossclassified,3
24498,barge,lake,crossclassified,3
16882,vehicle,wheel,hypernymy.1,3
3212,man,tank top,crossclassified,3
25735,car,class,crossclassified,3
18271,cabinet,display case,crossclassified,3
6121,yolk,food,hypernymy.2,3
17886,armchair,electronics,crossclassified,3
24492,barge,land,crossclassified,3
25136,hose,driveway,crossclassified,3
7711,fish,bread,crossclassified,3
6119,yolk,egg yolk,synonymy,3
1231,streetlight,light post,not-covered,3
5094,croissant,bun,hypernymy.2,3
18510,bowl,pitcher,co-hyponymy,3
6116,jar,blender jar,not-covered,3
4766,bed,pizza,crossclassified,3
19070,carpeting,ground,crossclassified,3
16056,jacket,robe,crossclassified,3
3391,chair,cover,crossclassified,3
3189,sofa,bellow,crossclassified,3
17873,shed,room,crossclassified,3
7657,jacket,necktie,crossclassified,3
7729,table,jam,crossclassified,3
7656,jacket,bar,crossclassified,3
4693,girl,chef,crossclassified,3
3126,counter,snack,crossclassified,3
17411,boy,field,crossclassified,3
19044,couch,couple,crossclassified,3
24634,bridge,aqueducts,crossclassified,3
17983,batter,sports dress,not-covered,3
7601,horse,crash,crossclassified,3
16990,table,men,crossclassified,3
24154,bed,bets,crossclassified,3
7592,vegetable,veggies,synonymy,3
5177,cake,bun,crossclassified,3
6058,liquor,bottle,crossclassified,3
18253,boat,market,crossclassified,3
4666,girl,selfie,not-covered,3
3107,table,tease,crossclassified,3
24639,ship,cruise liner,hypernymy.1,3
17846,lobster,crab,co-hyponymy,3
25669,house,gazebo,co-hyponymy,3
3104,girl,apple,crossclassified,3
7582,buffalo,yak,crossclassified,3
6053,liquor,fridge,crossclassified,3
3098,scooter,vesta,crossclassified,3
7576,buffalo,wildebeest,crossclassified,3
7573,boy,sportsman,crossclassified,3
17993,counter,cookie,crossclassified,3
5158,bridge,foot bridge,hypernymy.1,3
17407,train,jacket,crossclassified,3
4695,horse,thoroughbred,hypernymy.1,3
1331,bun,sub sandwich,not-covered,3
19059,bowl,leptin,not-covered,3
6087,sofa,recliner,crossclassified,3
826,house,a house,not-covered,3
17977,car,car glass,not-covered,3
4721,couch,chairs,co-hyponymy,3
16077,tub,bathroom accessories,not-covered,3
5144,boat,shipwreck,crossclassified,3
3157,tie,pole,crossclassified,3
5148,guy,body,crossclassified,3
24143,girl,foot,crossclassified,3
4714,bowl,aquarium,crossclassified,3
17401,chair,cup,crossclassified,3
3131,woman,couch,crossclassified,3
6080,guy,pole,crossclassified,3
23483,restaurant,fire hydrant,crossclassified,3
3412,bridge,pant,crossclassified,3
1341,resort,lake,crossclassified,3
1342,resort,port,crossclassified,3
23486,restaurant,hydrant,crossclassified,3
25693,grill,railing,crossclassified,3
3413,bridge,steel,crossclassified,3
3414,bridge,rails,crossclassified,3
7632,garage,shutter,crossclassified,3
3423,boat,windsurfer,not-covered,3
6233,goat,mountain goat,crossclassified,3
19080,car,coal car,hypernymy.1,3
24641,woman,tress,crossclassified,3
18281,sofa,glass,crossclassified,3
6183,aeroplane,vehicle,not-covered,3
6184,dog,labrador,crossclassified,3
23387,benching,chair,not-covered,3
4985,boy,ski board,not-covered,3
1062,pitcher,male,crossclassified,3
4992,donut,roll,crossclassified,3
16582,blazer,arm,crossclassified,3
25771,skater,knee pads,crossclassified,3
24117,car,canopy,crossclassified,3
166,bathrobe,curtain,crossclassified,3
896,hose,pipe,co-hyponymy,3
4888,bun,pita,crossclassified,3
18525,boat,fruit,crossclassified,3
7838,car,bullet train,crossclassified,3
23393,palace,london,crossclassified,3
4879,basin,cup,co-hyponymy,3
1092,liquor,beer,crossclassified,3
16008,batter,gloves,crossclassified,3
1093,liquor,beverage,hypernymy.2,3
3280,cat,paper,crossclassified,3
17952,giraffe,horse,crossclassified,3
16942,bed,railway,crossclassified,3
17910,cup,foods,hypernymy.2,3
7822,man,bartender,crossclassified,3
1096,liquor,drink,hypernymy.2,3
4903,skier,snow,crossclassified,3
16928,cat,cycle,crossclassified,3
19105,carpeting,suitcase,crossclassified,3
925,cow,head,crossclassified,3
24536,house,basket,crossclassified,3
16578,blazer,sweatshirt,crossclassified,3
4964,athlete,racket,crossclassified,3
4949,hood,coat,co-hyponymy,3
3326,hat,headgear,hypernymy.2,3
3307,dugout,alary,crossclassified,3
7883,jacket,necklace,crossclassified,3
972,cheesecake,dessert,crossclassified,3
24543,house,lamp,crossclassified,3
975,woman,bathing suit,crossclassified,3
17357,cabinet.,table,not-covered,3
1008,truck,tanker truck,not-covered,3
7851,aircraft,airliner,hypernymy.1,3
16918,coat,pen,crossclassified,3
1011,truck,rank,crossclassified,3
16922,desk,flower,crossclassified,3
16567,hat,sleep mask,not-covered,3
17927,desk,plane,crossclassified,3
7856,pitcher,kid,crossclassified,3
4979,boy,tennis,crossclassified,3
16579,blazer,sleeve,crossclassified,3
25103,housing,bike,crossclassified,3
16906,motorbike,tire,crossclassified,3
17946,bridge,platelayer,crossclassified,3
7820,bench,water,crossclassified,3
4871,basin,bowl,co-hyponymy,3
855,bowl,veg,crossclassified,3
16562,woman,chairs,crossclassified,3
16889,woman,skate board,crossclassified,3
1153,counter,bathroom top,not-covered,3
1165,woman,grandmother,crossclassified,3
16028,bed,clothe,crossclassified,3
16029,sheep,fields,crossclassified,3
6222,truck,store,crossclassified,3
171,bathrobe,clothing,hypernymy.2,3
7747,horse,black horse,not-covered,3
4831,dish,box,co-hyponymy,3
5053,bun,bratwurst,crossclassified,3
4829,plane,model,crossclassified,3
