,word1,word2,relation,freq. (unord),"freq. (w1,w2)","freq. (w2,w1)"
7073,shoe,skateboard,crossclassified,4,3,1
801,beverage,glass,crossclassified,4,0,4
1464,mike,suit,crossclassified,4,0,4
3132,skater,teen,crossclassified,4,4,0
977,humvee,truck,crossclassified,4,0,4
4649,desk,train,crossclassified,4,4,0
10857,plants,pot,crossclassified,4,0,4
178,floor,plate,crossclassified,4,4,0
2683,noodles,table,crossclassified,4,0,4
12177,child,motorcycle,crossclassified,4,0,4
6272,helicopter,wings,crossclassified,4,4,0
9945,railway,tracks,hypernymy.2,4,0,4
2085,shirt,window,crossclassified,4,3,1
3306,cake,cream,crossclassified,4,4,0
6059,boy,racket,crossclassified,4,4,0
12175,suv,vehicle,hypernymy.2,4,4,0
3162,animals,dog,hypernymy.1,4,0,4
12696,bed,hair,crossclassified,4,4,0
7132,bottle,sink,crossclassified,4,0,4
2770,banana,boat,crossclassified,4,0,4
9949,dugout,stairs,crossclassified,4,4,0
3838,meal,salad,crossclassified,4,0,4
9952,giraffe,leaves,crossclassified,4,4,0
8896,desk,pole,crossclassified,4,4,0
8409,apple,pear,co-hyponymy,4,4,0
1772,machine,table,crossclassified,4,0,4
3154,bathrobe,shirt,crossclassified,4,0,4
8968,herd,zebra,crossclassified,4,0,4
7121,animal,shirt,crossclassified,4,0,4
5228,lamp,table,co-hyponymy,4,3,1
7066,colt,horse,crossclassified,4,0,4
6102,man,specs,crossclassified,4,4,0
13706,banana,coat,crossclassified,4,4,0
3102,bridge,path,crossclassified,4,4,0
8440,screen,table,crossclassified,4,0,4
8898,bread,fork,crossclassified,4,0,4
10055,carpet,turf,crossclassified,4,4,0
7019,orange,truck,crossclassified,4,0,4
12711,sauerkraut,sausage,crossclassified,4,0,4
92,bathtub,bed,crossclassified,4,4,0
10823,boy,grass,crossclassified,4,1,3
5198,food,squash,hypernymy.1,4,0,4
8445,building,sidewalk,crossclassified,4,4,0
10820,grass,uniform,crossclassified,4,4,0
1417,counter,washington,crossclassified,4,4,0
6147,building,cycle,crossclassified,4,4,0
6998,dog,fox,co-hyponymy,4,4,0
4716,food,veg,hypernymy.1,4,4,0
8447,cake,topping,crossclassified,4,4,0
6989,drizzle,sauce,crossclassified,4,0,4
4719,bench,purse,crossclassified,4,4,0
2706,truck,woman,crossclassified,4,2,2
13704,banana,sweater,crossclassified,4,4,0
4722,chair,vase,crossclassified,4,1,3
4723,class,vase,crossclassified,4,0,4
8567,lid,toilet,crossclassified,4,0,4
8434,fork,shirt,crossclassified,4,0,4
6103,man,spectacle,crossclassified,4,4,0
2698,lanyard,shirt,crossclassified,4,0,4
3125,stripes,zebra,crossclassified,4,0,4
12132,curtain,valance,crossclassified,4,4,0
3123,bat,bed,crossclassified,4,0,4
6104,bird,seabird,hypernymy.1,4,4,0
802,glass,liquor,crossclassified,4,4,0
5211,male,person,hypernymy.2,4,0,4
2764,coat,t-shirt,crossclassified,4,4,0
1340,shelve,table,crossclassified,4,0,4
15437,boat,shopper,crossclassified,4,4,0
806,alcohol,glass,crossclassified,4,0,4
12129,couch,sweater,crossclassified,4,4,0
7037,jar,pitcher,co-hyponymy,4,0,4
11638,carpet,oven,crossclassified,4,0,4
4690,pancake,sandwich,crossclassified,4,2,2
10032,cycle,house,crossclassified,4,0,4
2103,grill,rack,co-hyponymy,4,4,0
3108,bridge,wood,crossclassified,4,4,0
12112,bar,glass,crossclassified,4,4,0
8810,bonnet,hat,hypernymy.2,4,0,4
10832,legs,woman,crossclassified,4,2,2
3104,face,girl,crossclassified,4,3,1
9674,zebra,zeroes,crossclassified,4,4,0
9678,frisbee,house,crossclassified,4,0,4
4937,skier,snowman,crossclassified,4,4,0
8021,van,vegetable,crossclassified,4,4,0
3499,dress,shoe,crossclassified,4,3,1
2412,blender,ice,crossclassified,4,4,0
14312,fruit,toaster,crossclassified,4,0,4
10560,bench,phone,crossclassified,4,4,0
9261,bag,child,crossclassified,4,0,4
523,jacket,sweet,crossclassified,4,4,0
2500,shed,wooden,crossclassified,4,4,0
11199,man,van,crossclassified,4,0,4
13234,sail,sailboat,crossclassified,4,1,3
4156,airplane,jacket,crossclassified,4,4,0
2206,rail,train,crossclassified,4,0,4
6478,player,uniform,crossclassified,4,4,0
6480,kimberlite,man,crossclassified,4,0,4
1946,bowl,grapefruit,crossclassified,4,4,0
10555,floor,tent,crossclassified,4,0,4
922,bed,kid,crossclassified,4,4,0
12844,boy,umbrella,crossclassified,4,3,1
293,dress,torso,crossclassified,4,4,0
15558,kite,kites,synonymy,4,4,0
4167,banana,cereal,crossclassified,4,0,4
11185,bridge,river,crossclassified,4,4,0
9260,bird,food,hypernymy.2,4,4,0
9256,omelette,soup,co-hyponymy,4,0,4
2867,footstool,ottoman,synonymy,4,0,4
3503,curtain,monitor,crossclassified,4,4,0
11409,furniture,patio,crossclassified,4,0,4
15766,clock,fence,crossclassified,4,4,0
13195,cupcake,shirt,crossclassified,4,0,4
14373,floor,phones,crossclassified,4,4,0
4122,bane,bench,crossclassified,4,0,4
5640,bullock,cow,co-hyponymy,4,0,4
1828,house,plant,crossclassified,4,4,0
3636,girl,women,hypernymy.2,4,4,0
4127,girl,jersey,crossclassified,4,4,0
12547,couch,kite,crossclassified,4,4,0
9242,bed,truck,crossclassified,4,0,4
12542,plate,rug,crossclassified,4,0,4
952,dock,marina,hypernymy.1,4,0,4
12538,counter,tools,crossclassified,4,4,0
8279,bookshelf,glass,crossclassified,4,4,0
14565,bull,yak,crossclassified,4,4,0
5481,boy,pole,crossclassified,4,4,0
3508,bowl,peach,crossclassified,4,4,0
5480,mensuration,suit,crossclassified,4,0,4
5645,bench,suit,crossclassified,4,4,0
3504,bird,dog,crossclassified,4,3,1
13244,food,yogurt,hypernymy.1,4,0,4
11793,boy,building,crossclassified,4,0,4
14302,bookshelf,child,crossclassified,4,4,0
1665,players,woman,crossclassified,4,0,4
5697,cellphone,jacket,crossclassified,4,0,4
7918,counter,drawer,crossclassified,4,4,0
7917,boy,candle,crossclassified,4,4,0
7916,bun,plate,crossclassified,4,4,0
15793,leek,leeks,synonymy,4,4,0
8313,scrubs,shirt,co-hyponymy,4,0,4
9356,band,girl,crossclassified,4,0,4
4989,dish,sandwich,hypernymy.1,4,0,4
7903,building,fort,crossclassified,4,4,0
9359,cabinets,sink,crossclassified,4,0,4
551,car,roadster,hypernymy.1,4,4,0
9360,sink,washington,crossclassified,4,4,0
5836,airplane,cockpit,crossclassified,4,4,0
3764,house,van,crossclassified,4,4,0
2866,ottoman,table,crossclassified,4,1,3
1637,pastry,pizza,crossclassified,4,0,4
4987,glove,knife,crossclassified,4,4,0
5708,cap,surfer,crossclassified,4,0,4
9374,dugout,men,crossclassified,4,4,0
8314,plait,table,crossclassified,4,0,4
11166,person,wheel,crossclassified,4,4,0
6500,boat,umbrella,crossclassified,4,4,0
7922,building,london,crossclassified,4,4,0
2801,boy,controller,crossclassified,4,4,0
12665,food,ingredients,hypernymy.1,4,4,0
9298,motorcycle,trailer,crossclassified,4,4,0
9302,counter,ledge,crossclassified,4,4,0
10654,boat,gondola,hypernymy.1,4,4,0
539,bird,table,crossclassified,4,1,3
1661,artist,man,crossclassified,4,0,4
4993,jam,table,crossclassified,4,0,4
7942,catcher,pant,crossclassified,4,4,0
14862,rug,vase,crossclassified,4,4,0
4183,carrot,woman,crossclassified,4,0,4
12891,shirt,tux,crossclassified,4,4,0
5451,fruit,girl,crossclassified,4,0,4
9331,horse,ride,crossclassified,4,4,0
7937,umbellate,woman,crossclassified,4,0,4
1660,man,painter,co-hyponymy,4,4,0
3770,shoe,wheelchair,crossclassified,4,0,4
5681,sheep,toy,crossclassified,4,2,2
5682,sheep,wood,crossclassified,4,4,0
7928,clock,motorcycle,crossclassified,4,0,4
14296,cake,meat,crossclassified,4,0,4
1119,car,convertible,hypernymy.1,4,4,0
13192,cat,vest,crossclassified,4,4,0
9228,sofa,tie,crossclassified,4,0,4
9224,car,helmet,crossclassified,4,4,0
1153,dress,vest,crossclassified,4,3,1
8243,banana,hotdog,crossclassified,4,0,4
13980,beach,building,crossclassified,4,0,4
1194,container,fruit,crossclassified,4,2,2
2831,man,pair,crossclassified,4,4,0
13979,bread,salad,crossclassified,4,0,4
4040,cow,painting,crossclassified,4,4,0
9116,sandwich,spinach,crossclassified,4,4,0
6428,t-shirt,umpire,crossclassified,4,0,4
9118,oranges,table,crossclassified,4,0,4
8183,mountain,wing,crossclassified,4,0,4
12617,sink,t-shirt,crossclassified,4,4,0
14906,food,pita,hypernymy.1,4,4,0
13133,runner,woman,crossclassified,4,0,4
2236,child,curtain,crossclassified,4,0,4
3580,counter,glasses,crossclassified,4,4,0
2835,dog,window,crossclassified,4,4,0
8255,counter,pole,crossclassified,4,4,0
12649,bench,mobile,crossclassified,4,4,0
6386,surfboard,woman,crossclassified,4,0,4
8164,book,shelf,crossclassified,4,0,4
2457,curtain,fence,crossclassified,4,1,3
8201,boat,pant,crossclassified,4,4,0
338,eating,girl,crossclassified,4,0,4
8207,fork,shooting,crossclassified,4,4,0
10627,ski,snow,crossclassified,4,0,4
5547,house,photograph,crossclassified,4,4,0
12953,cake,hat,crossclassified,4,4,0
5036,curtain,tapestry,crossclassified,4,4,0
4010,dress,mirror,crossclassified,4,3,1
3611,garage,man,crossclassified,4,4,0
4012,bowl,trough,synonymy,4,1,3
8238,man,orange,crossclassified,4,4,0
11753,bed,wardrobe,crossclassified,4,0,4
12870,teepee,tepee,synonymy,4,4,0
5537,competitor,man,crossclassified,4,0,4
11307,boy,boys,synonymy,4,4,0
14346,drink,jar,crossclassified,4,0,4
1192,fruit,tray,crossclassified,4,4,0
4022,table,vcr,crossclassified,4,4,0
9091,brush,toothbrush,hypernymy.1,4,0,4
5532,building,dog,crossclassified,4,3,1
1895,outfit,woman,crossclassified,4,0,4
12626,microwave,oven,co-hyponymy,4,3,1
2812,man,plane,crossclassified,4,0,4
8209,pole,roof,crossclassified,4,0,4
15770,bars,clock,crossclassified,4,0,4
5048,beach,sidewalk,crossclassified,4,4,0
4114,plant,vase,crossclassified,4,3,1
9168,rug,suitcase,crossclassified,4,0,4
8653,crane,flamingo,co-hyponymy,4,0,4
5608,bench,tree,crossclassified,4,4,0
8097,catcher,jersey,crossclassified,4,4,0
2237,plane,t-shirt,crossclassified,4,4,0
4093,sprinkles,wrapper,crossclassified,4,0,4
3987,chair,mobile,crossclassified,4,4,0
3721,girl,horse,crossclassified,4,3,1
8650,cheese,rice,crossclassified,4,0,4
5014,cabinet,stove,crossclassified,4,1,3
3547,lady,man,crossclassified,4,0,4
11397,glass,window,crossclassified,4,0,4
4101,shelving,table,crossclassified,4,0,4
10590,man,rug,crossclassified,4,1,3
8080,monitor,table,crossclassified,4,0,4
5635,car,wiper,crossclassified,4,4,0
11778,unknown,vase,crossclassified,4,0,4
1701,bridge,jacket,crossclassified,4,4,0
12561,table,toys,crossclassified,4,4,0
8265,box,cake,crossclassified,4,2,2
9032,boat,van,crossclassified,4,4,0
1207,cupcake,desert,crossclassified,4,4,0
4087,dexter,woman,crossclassified,4,0,4
12573,cabinet,flower,crossclassified,4,4,0
5602,hotdog,snack,crossclassified,4,4,0
2421,pottery,vases,crossclassified,4,4,0
5515,train,trains,synonymy,4,4,0
8154,curtain,light,crossclassified,4,4,0
8698,scissor,woman,crossclassified,4,0,4
5513,dog,dogs,synonymy,4,4,0
9169,mat,suitcase,crossclassified,4,0,4
9170,suitcase,table,crossclassified,4,1,3
6378,man,statue,crossclassified,4,1,3
1716,cow,t-shirt,crossclassified,4,4,0
6375,child,food,crossclassified,4,4,0
14332,meter,woman,crossclassified,4,0,4
3790,floor,pants,crossclassified,4,4,0
13162,hat,house,crossclassified,4,0,4
13163,catcher,woman,crossclassified,4,0,4
8119,coat,truck,crossclassified,4,0,4
1203,cow,donkey,crossclassified,4,4,0
1749,gravy,plate,crossclassified,4,4,0
8114,cabinet,chair,crossclassified,4,4,0
1913,bracelet,shirt,crossclassified,4,0,4
9184,dress,sofa,crossclassified,4,4,0
490,court,woman,crossclassified,4,0,4
11443,girl,rider,crossclassified,4,4,0
9361,bucket,can,co-hyponymy,4,4,0
3364,jacket,sunglasses,crossclassified,4,4,0
2012,dugout,spectators,crossclassified,4,4,0
6531,planter,urn,crossclassified,4,4,0
1566,bridge,monorail,crossclassified,4,4,0
5075,people,snowboarder,crossclassified,4,0,4
7724,blanket,jacket,crossclassified,4,3,1
1260,eggs,pan,crossclassified,4,0,4
4330,bucket,planter,crossclassified,4,0,4
4331,plant,planter,crossclassified,4,0,4
6566,grate,motorcycle,crossclassified,4,4,0
3324,airplane,ladder,crossclassified,4,4,0
8343,crepe,food,hypernymy.2,4,0,4
7715,road,wheel,crossclassified,4,4,0
14262,bowl,spinach,crossclassified,4,4,0
2557,bread,sub,crossclassified,4,4,0
7689,grass,shirt,crossclassified,4,3,1
68,salad,veggies,crossclassified,4,4,0
7567,trough,water,crossclassified,4,4,0
3358,bench,people,crossclassified,4,4,0
5786,bridge,cars,crossclassified,4,4,0
5789,table,tent,crossclassified,4,0,4
4400,display,fruit,crossclassified,4,0,4
7733,cheese,fork,crossclassified,4,0,4
7735,airplane,pul,crossclassified,4,4,0
6345,elder,man,co-hyponymy,4,0,4
8356,counter,jug,crossclassified,4,4,0
2188,eating,man,crossclassified,4,0,4
3317,carpet,ottoman,crossclassified,4,4,0
7756,blanket,dress,crossclassified,4,2,2
2007,fries,sandwich,crossclassified,4,0,4
9542,business,restaurant,crossclassified,4,0,4
9547,short,woman,crossclassified,4,0,4
9551,timbuktu,vehicle,crossclassified,4,0,4
2008,body,dress,crossclassified,4,0,4
7736,airplane,toy,crossclassified,4,4,0
11100,blender,woman,crossclassified,4,0,4
602,male,skater,crossclassified,4,0,4
8510,cabinet,microwave,crossclassified,4,4,0
4319,bacon,hotdog,crossclassified,4,3,1
1349,apron,cape,crossclassified,4,0,4
4320,bacon,toppings,crossclassified,4,4,0
8315,plane,seaplane,hypernymy.1,4,4,0
7737,pipe,sink,crossclassified,4,0,4
14418,trolley,truck,crossclassified,4,0,4
11086,desk,shoe,crossclassified,4,4,0
67,carrot,salad,crossclassified,4,0,4
10505,fruits,table,crossclassified,4,0,4
11823,couch,desk,crossclassified,4,3,1
12347,carpet,skirt,crossclassified,4,4,0
9617,building,carriage,crossclassified,4,4,0
14798,foot,girl,crossclassified,4,0,4
12681,furniture,vase,crossclassified,4,0,4
11064,bathtub,sing,crossclassified,4,4,0
5801,leaf,pizza,crossclassified,4,0,4
14249,sail,surfer,crossclassified,4,4,0
3950,stream,water,hypernymy.2,4,0,4
6547,flower,orchid,hypernymy.1,4,4,0
11500,desk,easel,crossclassified,4,4,0
256,fence,pier,crossclassified,4,0,4
5365,bridge,horse,crossclassified,4,4,0
13040,tail,zebra,crossclassified,4,0,4
3329,bridge,britches,crossclassified,4,4,0
632,pizza,platter,crossclassified,4,4,0
7603,catcher,hat,crossclassified,4,4,0
633,scissor,shirt,crossclassified,4,0,4
3731,baby,person,hypernymy.2,4,4,0
2897,mushroom,pizza,crossclassified,4,0,4
6544,bed,pillows,crossclassified,4,4,0
3652,bathtub,washroom,crossclassified,4,4,0
2016,crowd,dugout,crossclassified,4,0,4
5356,pasta,spaghetti,hypernymy.1,4,4,0
6560,hitchhiker,woman,crossclassified,4,0,4
3354,vehicle,woman,crossclassified,4,0,4
11048,cabinets,dresser,hypernymy.1,4,0,4
7659,glass,spoon,co-hyponymy,4,3,1
9581,pan,pie,crossclassified,4,4,0
9584,man,nurse,crossclassified,4,4,0
5080,duck,geese,co-hyponymy,4,4,0
9585,dentist,man,crossclassified,4,0,4
7630,counter,handle,crossclassified,4,4,0
13045,boat,tent,crossclassified,4,4,0
4356,hotdog,sauce,crossclassified,4,3,1
4357,catsup,hotdog,crossclassified,4,0,4
7644,bathtub,wheel,crossclassified,4,4,0
7642,counter,fork,crossclassified,4,4,0
5374,couch,counter,crossclassified,4,1,3
7631,boat,motorcycle,crossclassified,4,1,3
5081,hamburger,shirt,crossclassified,4,0,4
1596,dress,train,crossclassified,4,0,4
15333,pool,wall,crossclassified,4,4,0
6348,desk,monitors,crossclassified,4,4,0
5424,cellphone,child,crossclassified,4,0,4
6509,bull,cattle,hypernymy.2,4,4,0
9423,bowl,juice,crossclassified,4,4,0
2042,food,quiche,hypernymy.1,4,4,0
1238,alcove,bench,crossclassified,4,0,4
2523,cat,t-shirt,crossclassified,4,4,0
9425,bean,vegetable,hypernymy.2,4,0,4
9426,tray,vegetable,crossclassified,4,0,4
13308,girl,skateboard,crossclassified,4,4,0
3808,kids,man,crossclassified,4,0,4
5732,cloth,rug,crossclassified,4,0,4
15417,building,ground,crossclassified,4,4,0
14275,fork,jacket,crossclassified,4,0,4
12429,chair,seats,hypernymy.2,4,4,0
13937,cinderella,doll,crossclassified,4,4,0
8326,bench,lady,crossclassified,4,4,0
7824,plate,quesadilla,crossclassified,4,0,4
9456,carpet,shoes,crossclassified,4,4,0
5831,beret,hat,crossclassified,4,0,4
3816,bowl,grapes,crossclassified,4,4,0
12416,train,wood,crossclassified,4,4,0
9420,computer,floor,crossclassified,4,0,4
570,bed,boat,crossclassified,4,1,3
3757,couch,soap,crossclassified,4,4,0
4231,pant,train,crossclassified,4,0,4
2905,boy,cup,crossclassified,4,4,0
7887,shirt,sunglasses,crossclassified,4,4,0
7878,pant,sheep,crossclassified,4,0,4
1759,car,garage,crossclassified,4,0,4
5439,dog,person,hypernymy.2,4,4,0
8320,coat,snowboarder,crossclassified,4,1,3
2800,boy,wire,crossclassified,4,4,0
255,pier,rail,crossclassified,4,4,0
8749,ramp,skating,crossclassified,4,4,0
11796,building,windows,crossclassified,4,4,0
12441,pant,plane,crossclassified,4,0,4
567,bird,hen,hypernymy.1,4,4,0
9401,cutlery,knife,hypernymy.1,4,0,4
5721,hose,house,crossclassified,4,0,4
4236,bird,macaw,hypernymy.1,4,4,0
1237,collie,dog,hypernymy.2,4,0,4
3435,garage,shop,hypernymy.2,4,4,0
14277,road,sidewalk,crossclassified,4,0,4
11798,chair,flower,crossclassified,4,4,0
7855,car,tie,crossclassified,4,4,0
14016,card,ruler,crossclassified,4,0,4
15383,booth,seat,crossclassified,4,0,4
1352,cape,cover,crossclassified,4,4,0
7550,stairs,table,crossclassified,4,0,4
5417,belt,dress,crossclassified,4,0,4
7791,geese,goose,synonymy,4,0,4
394,giraffe,neck,crossclassified,4,4,0
8335,curtain,wire,crossclassified,4,4,0
3386,shop,store,synonymy,4,0,4
14015,pocket,ruler,crossclassified,4,0,4
15334,pool,ramp,crossclassified,4,4,0
600,boy,court,crossclassified,4,4,0
2004,bench,settee,hypernymy.1,4,4,0
11028,wall,wood,crossclassified,4,4,0
11813,cabinet,chest,co-hyponymy,4,4,0
12383,cot,futon,crossclassified,4,0,4
1092,animal,woman,crossclassified,4,0,4
5761,grill,snacks,crossclassified,4,4,0
3379,animal,llama,hypernymy.1,4,0,4
11031,display,wall,crossclassified,4,3,1
3650,hiker,man,crossclassified,4,0,4
10520,statue,toy,crossclassified,4,4,0
2196,mike,woman,crossclassified,4,0,4
15709,bike,dog,crossclassified,4,4,0
7798,dress,house,crossclassified,4,0,4
1606,pant,truck,crossclassified,4,0,4
12413,bathtub,cabinet,crossclassified,4,1,3
2202,train,wooden,crossclassified,4,4,0
4271,player,teenager,crossclassified,4,4,0
9472,legs,table,crossclassified,4,0,4
915,cellphone,couch,crossclassified,4,0,4
11466,dirt,field,crossclassified,4,4,0
11125,counter,dog,crossclassified,4,4,0
9662,cupboard,sink,crossclassified,4,0,4
4409,bowl,entree,crossclassified,4,4,0
5069,desk,notebook,crossclassified,4,4,0
4279,wheel,wheelchair,crossclassified,4,0,4
15385,cake,seat,crossclassified,4,0,4
3714,band,curtain,crossclassified,4,0,4
5747,person,tent,crossclassified,4,0,4
8620,carpet,man,crossclassified,4,4,0
6320,omelet,pizza,co-hyponymy,3,0,3
433,arm,dress,crossclassified,3,0,3
6246,rug,runner,hypernymy.1,3,3,0
6319,breakfast,pizza,crossclassified,3,0,3
10729,bridge,dog,co-hyponymy,3,3,0
10726,cup,wood,crossclassified,3,3,0
13996,building,column,co-hyponymy,3,3,0
10644,pilot,train,crossclassified,3,0,3
10672,curtain,pool,crossclassified,3,3,0
8825,surfer,teen,crossclassified,3,3,0
10667,dog,doggy,hypernymy.1,3,3,0
6287,burger,fork,crossclassified,3,0,3
10701,pepsi,soda,crossclassified,3,0,3
6294,animals,cow,hypernymy.1,3,0,3
11721,counter,lateen,crossclassified,3,3,0
6362,enclosure,giraffe,crossclassified,3,0,3
6288,bun,fork,crossclassified,3,0,3
953,lake,marina,crossclassified,3,0,3
8829,boy,footballer,crossclassified,3,3,0
10653,sink,washstand,hypernymy.1,3,3,0
10655,boat,food,crossclassified,3,3,0
10697,board,cabinet,hypernymy.1,3,0,3
8543,sink,urinal,co-hyponymy,3,2,1
10691,belt,house,co-hyponymy,3,0,3
11719,scooter,wheelchair,crossclassified,3,3,0
10694,road,train,crossclassified,3,0,3
14019,gauge,ruler,crossclassified,3,0,3
8833,bathtub,pole,crossclassified,3,3,0
10679,box,cabinet,co-hyponymy,3,0,3
6256,mound,pitcher,synonymy,3,3,0
14002,airplane,ocean,crossclassified,3,3,0
11701,car,pump,crossclassified,3,3,0
11739,canopy,dugout,crossclassified,3,0,3
10718,sing,toilet,crossclassified,3,0,3
6331,couch,settee,hypernymy.1,3,3,0
6340,platter,table,crossclassified,3,0,3
6302,bug,car,crossclassified,3,0,3
12786,bowl,boy,crossclassified,3,1,2
10659,building,shoe,crossclassified,3,2,1
6369,grass,table,crossclassified,3,0,3
6368,cat,child,crossclassified,3,2,1
10646,animal,shelf,crossclassified,3,0,3
10712,desk,soundboard,crossclassified,3,3,0
8815,ban,sandwich,crossclassified,3,0,3
10735,bed,pyjamas,crossclassified,3,3,0
9061,building,business,hypernymy.2,3,3,0
6233,leg,skateboarder,crossclassified,3,2,1
11462,dirt,pant,crossclassified,3,3,0
5763,cycle,train,co-hyponymy,3,0,3
5762,bread,grill,crossclassified,3,0,3
1094,jacket,peacoat,hypernymy.1,3,3,0
11105,boots,train,crossclassified,3,0,3
11111,cat,cup,crossclassified,3,3,0
1104,floor,tiles,crossclassified,3,3,0
5748,boy,kids,hypernymy.2,3,3,0
64,dinner,salad,crossclassified,3,0,3
11121,crab,kite,crossclassified,3,0,3
11463,dirt,t-shirt,crossclassified,3,3,0
14273,bags,bench,crossclassified,3,0,3
6231,leg,skater,crossclassified,3,1,2
11139,doorway,room,crossclassified,3,3,0
11140,doorway,entrance,hypernymy.2,3,3,0
1107,boat,cycle,crossclassified,3,3,0
1111,shed,tent,crossclassified,3,0,3
5727,goat,woman,crossclassified,3,0,3
11150,chair,flowerpot,crossclassified,3,3,0
5720,house,snow,crossclassified,3,3,0
5717,cow,moose,crossclassified,3,2,1
8629,banana,house,crossclassified,3,0,3
5707,bathtub,zing,crossclassified,3,3,0
1084,boat,seat,crossclassified,3,3,0
8627,thread,woman,crossclassified,3,0,3
8624,cabinet,tray,crossclassified,3,3,0
11101,bridge,weal,crossclassified,3,3,0
11511,display,shelf,crossclassified,3,1,2
5821,coffee,table,crossclassified,3,0,3
11507,display,memorabilia,crossclassified,3,3,0
5819,light,table,crossclassified,3,0,3
11052,cap,motorcycle,crossclassified,3,0,3
5808,tent,wedding,crossclassified,3,3,0
5806,bird,finch,hypernymy.1,3,3,0
12901,cake,wheel,crossclassified,3,3,0
11497,bears,table,crossclassified,3,0,3
11487,shelf,stand,co-hyponymy,3,2,1
11080,bed,stretcher,crossclassified,3,3,0
5797,glass,pot,co-hyponymy,3,0,3
11082,bird,bookshelf,crossclassified,3,0,3
11084,bookshelf,dresser,crossclassified,3,3,0
14257,cabinet,picture,crossclassified,3,0,3
8622,headset,shirt,crossclassified,3,0,3
5779,jet,wheel,crossclassified,3,3,0
11093,counter,washstand,co-hyponymy,3,3,0
5775,rice,toy,crossclassified,3,3,0
11097,mixer,woman,crossclassified,3,0,3
11098,mix,woman,crossclassified,3,0,3
8739,airplane,skateboarder,crossclassified,3,0,3
12842,boy,dugout,crossclassified,3,0,3
5696,headboard,table,crossclassified,3,0,3
11390,curtain,goat,crossclassified,3,3,0
5594,conveyor,grill,crossclassified,3,0,3
5593,cake,grill,crossclassified,3,0,3
11375,bench,steel,crossclassified,3,3,0
11278,bun,meat,crossclassified,3,0,3
5585,electronics,jacket,crossclassified,3,0,3
11280,meat,roast,hypernymy.1,3,3,0
11296,pillow,vase,crossclassified,3,0,3
11298,bench,vase,crossclassified,3,0,3
5580,blender,machine,crossclassified,3,3,0
11360,boat,market,crossclassified,3,3,0
417,frizzle,man,crossclassified,3,0,3
8670,dish,sauce,crossclassified,3,0,3
5577,boy,snack,crossclassified,3,3,0
14339,bowl,dress,crossclassified,3,0,3
14343,desk,doll,crossclassified,3,3,0
12872,cathedral,church,hypernymy.2,3,0,3
11355,awning,giraffe,crossclassified,3,0,3
11354,giraffe,umbrella,crossclassified,3,3,0
11350,car,seat,crossclassified,3,3,0
11329,building,skyline,crossclassified,3,2,1
5548,gate,horse,crossclassified,3,0,3
5609,blender,snacks,crossclassified,3,3,0
5618,sunbather,woman,crossclassified,3,0,3
11175,plane,table,crossclassified,3,0,3
5624,counter,transmission,crossclassified,3,3,0
5676,bag,cow,co-hyponymy,3,0,3
11184,bridge,platelayer,crossclassified,3,3,0
1123,man,photo,crossclassified,3,3,0
5664,shirt,sofa,crossclassified,3,2,1
1124,wife,woman,hypernymy.2,3,0,3
5659,shirt,umbrella,crossclassified,3,3,0
11190,skater,wheel,crossclassified,3,3,0
1133,table,veggies,crossclassified,3,3,0
5651,glows,man,crossclassified,3,0,3
11191,pole,ship,crossclassified,3,0,3
5650,dress,giraffe,crossclassified,3,0,3
58,curtain,shade,crossclassified,3,3,0
8644,camera,mirror,crossclassified,3,1,2
11421,foods,fork,crossclassified,3,0,3
14313,blender,toaster,crossclassified,3,0,3
11211,beverages,bottle,crossclassified,3,0,3
416,man,trainer,crossclassified,3,3,0
8649,barrage,pizza,crossclassified,3,0,3
11228,bench,tubes,crossclassified,3,3,0
11235,bridge,meter,crossclassified,3,3,0
11237,counter,mobile,crossclassified,3,3,0
11038,apple,cat,crossclassified,3,0,3
5826,buttonhole,shirt,crossclassified,3,0,3
14241,show,woman,crossclassified,3,0,3
11659,backpack,table,crossclassified,3,0,3
6166,food,pastries,hypernymy.1,3,3,0
8566,tile,toilet,crossclassified,3,0,3
14098,curtain,suit,crossclassified,3,3,0
11653,bed,watch,crossclassified,3,3,0
10810,arena,wheel,crossclassified,3,0,3
10813,chair,cup,crossclassified,3,3,0
10817,jacket,train,crossclassified,3,0,3
10818,grass,pant,crossclassified,3,3,0
6133,glass,person,crossclassified,3,0,3
90,bathtub,dog,crossclassified,3,3,0
6107,dog,pets,crossclassified,3,3,0
10839,guy,person,hypernymy.2,3,0,3
6105,bird,prow,crossclassified,3,3,0
8807,cabinet,woman,crossclassified,3,1,2
6096,snowplow,truck,co-hyponymy,3,0,3
10844,airplane,door,crossclassified,3,3,0
6090,helmet,umpire,crossclassified,3,0,3
10848,building,nameplate,crossclassified,3,3,0
10854,boat,steel,crossclassified,3,3,0
10855,grass,pot,synonymy,3,0,3
432,building,restart,crossclassified,3,3,0
10795,flowers,grass,crossclassified,3,0,3
6174,curtain,flower,crossclassified,3,3,0
10869,sink,tie,crossclassified,3,3,0
12793,cote,jacket,crossclassified,3,0,3
10741,steel,table,crossclassified,3,0,3
6226,boy,photographer,crossclassified,3,3,0
12933,cat,scooter,crossclassified,3,0,3
14064,log,stump,crossclassified,3,0,3
10744,bench,ledge,crossclassified,3,3,0
6217,person,truck,crossclassified,3,0,3
10754,bridge,see,crossclassified,3,3,0
