	max_domain	people	clothing	animals_plants	home	food	vehicles	buildings	SUM
$wash basion	home	0.00	0.20	0.00	0.31	0.00	0.00	0.00	0.51
$feather	animals_plants	0.00	0.11	0.40	0.00	0.00	0.00	0.00	0.51
$brocolli	food	0.00	0.00	0.00	0.11	0.40	0.00	0.00	0.51
$woodpen	home	0.00	0.00	0.00	0.51	0.00	0.00	0.00	0.51
$covering	home	0.00	0.00	0.11	0.14	0.00	0.14	0.11	0.51
$juke	home	0.11	0.00	0.00	0.39	0.00	0.00	0.00	0.50
$sun glasses	animals_plants	0.11	0.00	0.39	0.00	0.00	0.00	0.00	0.50
$hoggie	food	0.00	0.00	0.00	0.00	0.38	0.12	0.00	0.50
$veg	home	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.50
$steeple	buildings	0.00	0.00	0.00	0.25	0.00	0.00	0.25	0.50
$camare	people	0.22	0.11	0.00	0.17	0.00	0.00	0.00	0.50
$onion ring	food	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.50
$bin	home	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.50
$interior design	home	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.50
$prep table	home	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.50
$saw	home	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.50
$boxes	home	0.00	0.00	0.00	0.25	0.00	0.25	0.00	0.50
$landscape	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.50
$hanger	buildings	0.00	0.17	0.00	0.00	0.00	0.00	0.33	0.50
$gas station	vehicles	0.00	0.00	0.00	0.00	0.00	0.33	0.17	0.50
$scooters	vehicles	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.50
$toohbrush	clothing	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.50
$animal chain	animals_plants	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.50
$brits	animals_plants	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.50
$zac	animals_plants	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.50
$childrens	people	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.49
$cowboy	people	0.38	0.00	0.11	0.00	0.00	0.00	0.00	0.49
$t.v	home	0.12	0.00	0.14	0.22	0.00	0.00	0.00	0.49
$barager	food	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.49
$patty	food	0.00	0.00	0.12	0.00	0.36	0.00	0.00	0.49
$flore	home	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.49
$kitchen sink	home	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.49
$sandal	home	0.00	0.00	0.12	0.36	0.00	0.00	0.00	0.49
$buidling	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.49
$wall clock	buildings	0.00	0.00	0.11	0.00	0.00	0.00	0.38	0.49
$horse statue	animals_plants	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.49
$nest	buildings	0.12	0.11	0.00	0.00	0.00	0.00	0.25	0.49
$pizza cutter	home	0.00	0.00	0.00	0.36	0.12	0.00	0.00	0.49
$pork	food	0.00	0.00	0.12	0.11	0.12	0.00	0.12	0.49
$keyboad	home	0.00	0.00	0.12	0.36	0.00	0.00	0.00	0.49
$banner	home	0.00	0.00	0.00	0.25	0.00	0.00	0.24	0.49
$fort	buildings	0.00	0.00	0.00	0.12	0.00	0.00	0.36	0.49
$rock	vehicles	0.00	0.00	0.12	0.11	0.00	0.25	0.00	0.49
$rear view mirror	vehicles	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.49
$mountains	buildings	0.00	0.00	0.17	0.00	0.00	0.11	0.20	0.48
$air conditioner	animals_plants	0.00	0.00	0.31	0.17	0.00	0.00	0.00	0.48
$telephone	home	0.11	0.00	0.00	0.36	0.00	0.00	0.00	0.48
$bur	food	0.00	0.00	0.00	0.14	0.33	0.00	0.00	0.48
$stirfry	home	0.00	0.00	0.00	0.25	0.22	0.00	0.00	0.48
$holder	home	0.00	0.00	0.00	0.33	0.14	0.00	0.00	0.48
$drawing	home	0.00	0.00	0.11	0.22	0.14	0.00	0.00	0.48
$gift	home	0.00	0.00	0.00	0.36	0.11	0.00	0.00	0.48
$cake pan	home	0.00	0.00	0.00	0.48	0.00	0.00	0.00	0.48
$iron	home	0.00	0.11	0.00	0.14	0.00	0.11	0.11	0.48
$antique	vehicles	0.00	0.00	0.00	0.00	0.00	0.48	0.00	0.48
$rearview mirror	vehicles	0.00	0.00	0.00	0.00	0.00	0.48	0.00	0.48
$woamn	people	0.35	0.00	0.00	0.12	0.00	0.00	0.00	0.47
$headphone	people	0.24	0.11	0.00	0.12	0.00	0.00	0.00	0.47
$unbrella	people	0.24	0.00	0.00	0.00	0.00	0.00	0.24	0.47
$home maker	home	0.00	0.00	0.00	0.47	0.00	0.00	0.00	0.47
$measuring cup	home	0.00	0.00	0.00	0.47	0.00	0.00	0.00	0.47
$tee cup	home	0.00	0.00	0.00	0.47	0.00	0.00	0.00	0.47
$boat house	buildings	0.00	0.00	0.00	0.00	0.00	0.11	0.36	0.47
$polo shirt	clothing	0.00	0.47	0.00	0.00	0.00	0.00	0.00	0.47
$shoulder	clothing	0.00	0.47	0.00	0.00	0.00	0.00	0.00	0.47
$emu	animals_plants	0.00	0.00	0.47	0.00	0.00	0.00	0.00	0.47
$griaffe	animals_plants	0.00	0.00	0.47	0.00	0.00	0.00	0.00	0.47
$woodde	animals_plants	0.00	0.00	0.34	0.00	0.12	0.00	0.00	0.47
$t shairt	people	0.22	0.11	0.00	0.00	0.00	0.12	0.00	0.46
$trike	vehicles	0.12	0.00	0.00	0.00	0.00	0.33	0.00	0.46
$paper plate	home	0.11	0.00	0.00	0.22	0.12	0.00	0.00	0.46
$pizza pie	food	0.00	0.00	0.00	0.00	0.46	0.00	0.00	0.46
$flower bottle	home	0.00	0.00	0.00	0.46	0.00	0.00	0.00	0.46
$paddle	home	0.00	0.00	0.00	0.46	0.00	0.00	0.00	0.46
$stump	home	0.00	0.00	0.12	0.33	0.00	0.00	0.00	0.46
$parking garage	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.46	0.46
$box truck	vehicles	0.00	0.00	0.00	0.00	0.00	0.46	0.00	0.46
$zerbra	animals_plants	0.00	0.00	0.46	0.00	0.00	0.00	0.00	0.46
$grandma	people	0.46	0.00	0.00	0.00	0.00	0.00	0.00	0.46
$bracelet	people	0.35	0.11	0.00	0.00	0.00	0.00	0.00	0.46
$candy	people	0.24	0.11	0.00	0.11	0.00	0.00	0.00	0.46
$bootle	home	0.11	0.00	0.00	0.35	0.00	0.00	0.00	0.46
$remot	home	0.11	0.00	0.12	0.22	0.00	0.00	0.00	0.46
$head light	vehicles	0.11	0.00	0.00	0.00	0.00	0.35	0.00	0.46
$jakcet	clothing	0.11	0.35	0.00	0.00	0.00	0.00	0.00	0.46
$noodle	home	0.00	0.00	0.00	0.24	0.22	0.00	0.00	0.46
$nuts	home	0.00	0.00	0.00	0.35	0.11	0.00	0.00	0.46
$book shelf	home	0.00	0.00	0.00	0.46	0.00	0.00	0.00	0.46
$mixe	home	0.00	0.00	0.00	0.46	0.00	0.00	0.00	0.46
$showpa	home	0.00	0.00	0.00	0.46	0.00	0.00	0.00	0.46
$shreen	home	0.00	0.00	0.11	0.35	0.00	0.00	0.00	0.46
$door knob	vehicles	0.00	0.00	0.00	0.22	0.00	0.24	0.00	0.46
$windoa	buildings	0.00	0.11	0.00	0.11	0.00	0.00	0.24	0.46
$gallery	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.46	0.46
$bort	vehicles	0.00	0.00	0.00	0.00	0.00	0.46	0.00	0.46
$fire engine	vehicles	0.00	0.00	0.00	0.00	0.00	0.46	0.00	0.46
$shopesh	vehicles	0.00	0.00	0.00	0.00	0.00	0.46	0.00	0.46
$sleeve	clothing	0.00	0.46	0.00	0.00	0.00	0.00	0.00	0.46
$celery	food	0.00	0.00	0.00	0.00	0.45	0.00	0.00	0.45
$light pole	home	0.00	0.00	0.00	0.45	0.00	0.00	0.00	0.45
$stop sign	buildings	0.00	0.00	0.00	0.14	0.00	0.00	0.31	0.45
$range hood	clothing	0.00	0.45	0.00	0.00	0.00	0.00	0.00	0.45
$toucan	animals_plants	0.00	0.00	0.45	0.00	0.00	0.00	0.00	0.45
$flyer	people	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.44
$hairs	people	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.44
$singer	people	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.44
$skiir	people	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.44
$stroller	people	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.44
$trainer	people	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.44
$mobilphone	people	0.33	0.00	0.00	0.00	0.11	0.00	0.00	0.44
$model	people	0.33	0.00	0.00	0.11	0.00	0.00	0.00	0.44
$bats	people	0.33	0.00	0.00	0.00	0.00	0.00	0.11	0.44
$ambarla	people	0.33	0.00	0.00	0.00	0.00	0.11	0.00	0.44
$pilot	people	0.33	0.00	0.00	0.00	0.00	0.11	0.00	0.44
$shriet	people	0.33	0.11	0.00	0.00	0.00	0.00	0.00	0.44
$candles	people	0.22	0.00	0.00	0.22	0.00	0.00	0.00	0.44
$wooden spoon	home	0.11	0.00	0.00	0.33	0.00	0.00	0.00	0.44
$boike	vehicles	0.11	0.00	0.00	0.00	0.00	0.33	0.00	0.44
$berries	food	0.00	0.00	0.00	0.00	0.44	0.00	0.00	0.44
$blueberries	food	0.00	0.00	0.00	0.11	0.33	0.00	0.00	0.44
$bathing tub	home	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.44
$bets	home	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.44
$bowl of food	home	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.44
$kyeboard	home	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.44
$ladle	home	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.44
$personal computer	home	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.44
$dump truck	vehicles	0.00	0.00	0.00	0.11	0.00	0.22	0.11	0.44
$hangar	buildings	0.00	0.00	0.00	0.00	0.00	0.22	0.22	0.44
$air craft	vehicles	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.44
$rail transport	vehicles	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.44
$smog	vehicles	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.44
$subway train	vehicles	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.44
$vans	vehicles	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.44
$tattoo	home	0.11	0.12	0.00	0.20	0.00	0.00	0.00	0.44
$living room set	home	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.44
$lunchbox	home	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.44
$buggy	vehicles	0.00	0.00	0.00	0.12	0.00	0.31	0.00	0.44
$shutter	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.44	0.44
$city	buildings	0.00	0.00	0.00	0.00	0.00	0.12	0.31	0.44
$macaroni	food	0.00	0.00	0.00	0.00	0.44	0.00	0.00	0.44
$ruler	home	0.00	0.00	0.00	0.43	0.00	0.00	0.00	0.43
$key poard	home	0.20	0.00	0.00	0.22	0.00	0.00	0.00	0.42
$ribbon	home	0.11	0.00	0.11	0.20	0.00	0.00	0.00	0.42
$wool	animals_plants	0.00	0.00	0.31	0.11	0.00	0.00	0.00	0.42
$vendor tent	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.42
$toble	home	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.42
$brick	clothing	0.00	0.17	0.00	0.00	0.00	0.14	0.11	0.42
$piano	home	0.00	0.17	0.00	0.25	0.00	0.00	0.00	0.42
$sled	clothing	0.00	0.25	0.00	0.17	0.00	0.00	0.00	0.42
$garage door	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.42
$giaffe	animals_plants	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.42
$showcase	home	0.00	0.00	0.00	0.41	0.00	0.00	0.00	0.41
$inflatable	animals_plants	0.00	0.00	0.27	0.00	0.00	0.14	0.00	0.41
$rocks	animals_plants	0.00	0.00	0.29	0.00	0.00	0.00	0.12	0.41
$plastic paper	people	0.29	0.00	0.11	0.00	0.00	0.00	0.00	0.40
$mango	home	0.00	0.00	0.00	0.24	0.17	0.00	0.00	0.40
$westorn toilet	home	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.40
$gif	home	0.00	0.12	0.00	0.28	0.00	0.00	0.00	0.40
$dushpin	vehicles	0.00	0.00	0.00	0.12	0.00	0.28	0.00	0.40
$comb	clothing	0.00	0.29	0.00	0.11	0.00	0.00	0.00	0.40
$stem	animals_plants	0.00	0.00	0.29	0.11	0.00	0.00	0.00	0.40
$chef's coat	clothing	0.00	0.40	0.00	0.00	0.00	0.00	0.00	0.40
$cabbages	food	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.40
$cat tree	home	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.40
$kitchen cabinets	home	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.40
$tongs	home	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.40
$umbrellas	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0.40
$bald eagle	animals_plants	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.40
$broccoii	home	0.00	0.00	0.00	0.25	0.14	0.00	0.00	0.40
$street light	home	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.40
$tape	people	0.29	0.00	0.00	0.11	0.00	0.00	0.00	0.40
$calzone	food	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.40
$omlette	food	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.40
$mushroom	food	0.00	0.00	0.00	0.11	0.29	0.00	0.00	0.40
$casserole dish	home	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.40
$coral	home	0.00	0.00	0.00	0.29	0.00	0.00	0.11	0.40
$kide	people	0.27	0.00	0.12	0.00	0.00	0.00	0.00	0.39
$fire hydrant	buildings	0.12	0.00	0.00	0.00	0.00	0.12	0.14	0.39
$drizzle	food	0.00	0.00	0.00	0.00	0.39	0.00	0.00	0.39
$foil	food	0.00	0.00	0.00	0.14	0.25	0.00	0.00	0.39
$goats	animals_plants	0.00	0.00	0.39	0.00	0.00	0.00	0.00	0.39
$amparla	people	0.17	0.11	0.00	0.00	0.00	0.11	0.00	0.39
$microwen	home	0.11	0.00	0.00	0.28	0.00	0.00	0.00	0.39
$zucchini	food	0.00	0.00	0.00	0.11	0.28	0.00	0.00	0.39
$bento box	home	0.00	0.00	0.00	0.39	0.00	0.00	0.00	0.39
$sofa chair	home	0.00	0.00	0.00	0.39	0.00	0.00	0.00	0.39
$street lamp	home	0.00	0.00	0.00	0.39	0.00	0.00	0.00	0.39
$chinese food	home	0.00	0.00	0.17	0.22	0.00	0.00	0.00	0.39
$paint	vehicles	0.00	0.00	0.00	0.17	0.00	0.22	0.00	0.39
$mirrir	vehicles	0.00	0.00	0.00	0.11	0.00	0.28	0.00	0.39
$plate param	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.39	0.39
$zip	people	0.27	0.11	0.00	0.00	0.00	0.00	0.00	0.38
$bored	buildings	0.12	0.00	0.00	0.11	0.00	0.00	0.14	0.38
$side dish	food	0.00	0.00	0.00	0.00	0.38	0.00	0.00	0.38
$stems	food	0.00	0.00	0.12	0.11	0.14	0.00	0.00	0.38
$sticks	animals_plants	0.00	0.00	0.27	0.00	0.11	0.00	0.00	0.38
$cookie sheet	home	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.38
$curb	home	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.38
$floar	home	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.38
$processor	home	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.38
$refrigrator	home	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.38
$saucer	home	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.38
$sweets	home	0.00	0.12	0.00	0.25	0.00	0.00	0.00	0.38
$tea cup	home	0.00	0.00	0.00	0.24	0.00	0.14	0.00	0.38
$straw	clothing	0.00	0.25	0.00	0.12	0.00	0.00	0.00	0.38
$traffic	buildings	0.00	0.00	0.00	0.00	0.00	0.12	0.25	0.38
$baseball	buildings	0.00	0.14	0.00	0.00	0.00	0.00	0.24	0.38
$leafs	animals_plants	0.00	0.00	0.27	0.00	0.00	0.00	0.11	0.38
$groomer	people	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.38
$sprinkles	food	0.12	0.00	0.00	0.00	0.25	0.00	0.00	0.38
$soil	animals_plants	0.12	0.00	0.25	0.00	0.00	0.00	0.00	0.38
$squash	food	0.00	0.00	0.00	0.00	0.38	0.00	0.00	0.38
$borccoli	food	0.00	0.00	0.00	0.12	0.25	0.00	0.00	0.38
$herbs	animals_plants	0.00	0.00	0.25	0.00	0.12	0.00	0.00	0.38
$buffett	home	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.38
$bunks	home	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.38
$classroom	home	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.38
$leek	home	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.38
$tennis court	home	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.38
$exhaust	home	0.00	0.12	0.00	0.25	0.00	0.00	0.00	0.38
$barrier	buildings	0.00	0.00	0.00	0.12	0.00	0.00	0.25	0.38
$stable	clothing	0.00	0.25	0.00	0.00	0.00	0.00	0.12	0.38
$aerroplane	vehicles	0.00	0.00	0.00	0.00	0.00	0.38	0.00	0.38
$beak	animals_plants	0.00	0.00	0.38	0.00	0.00	0.00	0.00	0.38
$paw	animals_plants	0.00	0.00	0.38	0.00	0.00	0.00	0.00	0.38
$diningroom	people	0.20	0.00	0.00	0.17	0.00	0.00	0.00	0.37
$hourse	animals_plants	0.00	0.00	0.37	0.00	0.00	0.00	0.00	0.37
$parent	people	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.36
$pedestrian	people	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.36
$heater	people	0.25	0.00	0.00	0.11	0.00	0.00	0.00	0.36
$sports utilities	people	0.22	0.00	0.00	0.00	0.00	0.00	0.14	0.36
$reader	people	0.22	0.00	0.14	0.00	0.00	0.00	0.00	0.36
$remote controller	home	0.11	0.00	0.00	0.25	0.00	0.00	0.00	0.36
$umperlla	buildings	0.11	0.11	0.00	0.00	0.00	0.00	0.14	0.36
$baby chair	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$counter-top	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$cubbard	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$high chair	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$key  board	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$lightpost	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$notebook	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$plywood	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$pots	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$pouch	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$wash	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$workspace	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$tab	home	0.00	0.11	0.00	0.25	0.00	0.00	0.00	0.36
$lunch box	home	0.00	0.00	0.14	0.22	0.00	0.00	0.00	0.36
$wooden table	home	0.00	0.00	0.14	0.22	0.00	0.00	0.00	0.36
$shcreen	buildings	0.00	0.00	0.11	0.11	0.00	0.00	0.14	0.36
$button up shirt	clothing	0.00	0.36	0.00	0.00	0.00	0.00	0.00	0.36
$exhaust fan	clothing	0.00	0.36	0.00	0.00	0.00	0.00	0.00	0.36
$harness	clothing	0.00	0.25	0.11	0.00	0.00	0.00	0.00	0.36
$foal	animals_plants	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.36
$tourist	people	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.36
$students	people	0.25	0.00	0.00	0.11	0.00	0.00	0.00	0.36
$grafitti	people	0.25	0.00	0.00	0.00	0.00	0.11	0.00	0.36
$feeder	people	0.24	0.00	0.00	0.12	0.00	0.00	0.00	0.36
$file	home	0.12	0.00	0.00	0.24	0.00	0.00	0.00	0.36
$brocoli	food	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.36
$cup cake	food	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.36
$pizza topping	food	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.36
$doughnuts	food	0.00	0.00	0.00	0.12	0.24	0.00	0.00	0.36
$arm chair	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$bathroom vanity	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$curio	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$dustbin	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$love seat	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$lower cabinetry	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$pizza oven	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$plug	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$television stand	home	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.36
$kiosk	home	0.00	0.00	0.00	0.25	0.00	0.00	0.11	0.36
$gas stove	home	0.00	0.00	0.00	0.24	0.00	0.00	0.12	0.36
$plushy	animals_plants	0.00	0.00	0.24	0.12	0.00	0.00	0.00	0.36
$front door	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.36
$subway car	vehicles	0.00	0.00	0.00	0.00	0.00	0.36	0.00	0.36
$bear cub	animals_plants	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.36
$camel	animals_plants	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.36
$slipper	people	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.35
$woman tennis player	people	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.35
$organizer	people	0.24	0.00	0.00	0.11	0.00	0.00	0.00	0.35
$skate bord	people	0.24	0.00	0.00	0.11	0.00	0.00	0.00	0.35
$reflection	people	0.22	0.00	0.12	0.00	0.00	0.00	0.00	0.35
$lapto	home	0.12	0.00	0.00	0.22	0.00	0.00	0.00	0.35
$sleeve dress	clothing	0.12	0.22	0.00	0.00	0.00	0.00	0.00	0.35
$jam	food	0.11	0.00	0.00	0.00	0.24	0.00	0.00	0.35
$mad	home	0.11	0.00	0.00	0.24	0.00	0.00	0.00	0.35
$televsion	home	0.11	0.00	0.00	0.24	0.00	0.00	0.00	0.35
$tennis pet	buildings	0.11	0.00	0.00	0.11	0.00	0.00	0.12	0.35
$tiolet	buildings	0.11	0.00	0.00	0.11	0.00	0.00	0.12	0.35
$bage	animals_plants	0.11	0.00	0.12	0.11	0.00	0.00	0.00	0.35
$soap	animals_plants	0.11	0.00	0.12	0.11	0.00	0.00	0.00	0.35
$stetium	buildings	0.11	0.11	0.00	0.00	0.00	0.00	0.12	0.35
$wedding	buildings	0.11	0.11	0.00	0.00	0.00	0.00	0.12	0.35
$camper	vehicles	0.11	0.00	0.00	0.00	0.00	0.24	0.00	0.35
$attire	clothing	0.11	0.24	0.00	0.00	0.00	0.00	0.00	0.35
$id card	clothing	0.11	0.24	0.00	0.00	0.00	0.00	0.00	0.35
$neckless	clothing	0.11	0.24	0.00	0.00	0.00	0.00	0.00	0.35
$bargar	food	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.35
$hot dog bun	food	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.35
$ice cream sandwich	food	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.35
$musroom	food	0.00	0.00	0.12	0.00	0.22	0.00	0.00	0.35
$scooty	vehicles	0.00	0.00	0.00	0.00	0.12	0.22	0.00	0.35
$battel	home	0.00	0.00	0.00	0.24	0.11	0.00	0.00	0.35
$bed and frame	home	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.35
$beverages	home	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.35
$bowll	home	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.35
$conference table	home	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.35
$flipper	home	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.35
$jag	home	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.35
$laptop table	home	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.35
$shampoo	home	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.35
$tea pot	home	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.35
$wash basion cabinet	home	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.35
$wash bason	home	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.35
$wheel chair	home	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.35
$whiskey	home	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.35
$fun	home	0.00	0.11	0.00	0.24	0.00	0.00	0.00	0.35
$stuffed bear	home	0.00	0.11	0.00	0.24	0.00	0.00	0.00	0.35
$cabord	home	0.00	0.00	0.00	0.22	0.00	0.00	0.12	0.35
$racke	home	0.00	0.12	0.00	0.22	0.00	0.00	0.00	0.35
$keypored	home	0.00	0.00	0.12	0.22	0.00	0.00	0.00	0.35
$bawl	clothing	0.00	0.22	0.00	0.12	0.00	0.00	0.00	0.35
$overalls	clothing	0.00	0.22	0.00	0.12	0.00	0.00	0.00	0.35
$railroad	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.35
$railway station	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.35
$fencing	vehicles	0.00	0.00	0.00	0.00	0.00	0.24	0.11	0.35
$metre	vehicles	0.00	0.00	0.00	0.00	0.00	0.24	0.11	0.35
$cruise ship	vehicles	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.35
$mopad	vehicles	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.35
$pontoon	vehicles	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.35
$car roof	vehicles	0.00	0.12	0.00	0.00	0.00	0.22	0.00	0.35
$back	clothing	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.35
$jaket	clothing	0.00	0.22	0.12	0.00	0.00	0.00	0.00	0.35
$egret	animals_plants	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.35
$ride	animals_plants	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.35
$paws	home	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.34
$woman and child	people	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.33
$comp	people	0.17	0.17	0.00	0.00	0.00	0.00	0.00	0.33
$skatepark	home	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.33
$motarcycle	home	0.00	0.00	0.00	0.17	0.00	0.00	0.17	0.33
$grassland	buildings	0.00	0.00	0.00	0.00	0.00	0.17	0.17	0.33
$ttrain	vehicles	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.33
$coffee maker	people	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.33
$earing	people	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.33
