items,quality_control,source,assignments
"[['http://object-naming-amore.upf.edu//2409160_2577731_seed_ambiguous.png', ['bull', 'cow', 'nose']], ['http://object-naming-amore.upf.edu//2380393_710774_singleton_obj.png', ['plane', 'jet', 'airplane', 'cockpit']], ['http://object-naming-amore.upf.edu//2371171_2301557_supercat_unique.png', ['pizza slice', 'greece', 'pizza', 'pie', 'food']], ['http://object-naming-amore.upf.edu//2414361_321358_supercat_unique.png', ['food', 'sandwich', 'mayonnaise', 'plate', 'bread']], ['http://object-naming-amore.upf.edu//2339311_3050764_supercat_ambiguous.png', ['skateboarder', 'gound', 'boy', 'girl', 'person', 'skater', 'man']], ['http://object-naming-amore.upf.edu//2415869_3297424_supercat_unique.png', ['bowl', 'salad', 'plate', 'dish', 'tomatoes', 'food', 'meal']]]","['7b226e6f7365223a20227365726966227d', '7b22636f636b706974223a20227365726966222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b22677265656365223a2022636f7572696572227d', '7b226d61796f6e6e61697365223a20227365726966227d', '7b22676f756e64223a2022636f7572696572227d', '7b22746f6d61746f6573223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_140___../1_pre-pilot/verification_round0_amt.csv_472,2
"[['http://object-naming-amore.upf.edu//2356302_3772700_singleton_obj.png', ['bird', 'breast', 'duck']], ['http://object-naming-amore.upf.edu//2324046_3417832_singleton_obj.png', ['jet', 'middle', 'airplane', 'plane']], ['http://object-naming-amore.upf.edu//2373560_731701_supercat_unique.png', ['coat', 'blazer', 'jacket', 'lake', 'suit']], ['http://object-naming-amore.upf.edu//2324313_2733236_singleton_obj.png', ['semi', 'truck', 'car', 'semi truck', 'semi truuck']], ['http://object-naming-amore.upf.edu//2318819_1006810_singleton_obj.png', ['baseball player', 'helmet', 'person', 'batter', 'jersey', 'player', 'man']], ['http://object-naming-amore.upf.edu//2356475_3047900_singleton_obj.png', ['key', 'girl', 'head', 'computer', 'child', 'person', 'laptop']]]","['7b22627265617374223a20227365726966227d', '7b226d6964646c65223a20227365726966222c2022706c616e65223a2022617269616c222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b226c616b65223a2022636f7572696572227d', '7b2273656d692074727575636b223a202273616e732d73656d6920747275636b227d', '7b226a6572736579223a20227365726966227d', '7b226b6579223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_141___../1_pre-pilot/verification_round0_amt.csv_481,2
"[['http://object-naming-amore.upf.edu//498292_1076211_singleton_obj.png', ['ship', 'blat', 'boat']], ['http://object-naming-amore.upf.edu//2362521_3749883_singleton_obj.png', ['pants', 'kid', 'child', 'boy']], ['http://object-naming-amore.upf.edu//2417944_2800434_supercat_unique.png', ['stripes', 'airplane', 'plane', 't-shirt', 'aircraft']], ['http://object-naming-amore.upf.edu//2344832_3202854_singleton_obj.png', ['airplane', 'aircraft', 'propeller', 'plane', 'airpalne']], ['http://object-naming-amore.upf.edu//2403474_352711_singleton_obj.png', ['glasses', 'boy', 'kite', 'child', 'person', 'shirt', 'man']], ['http://object-naming-amore.upf.edu//2407556_277540_singleton_obj.png', ['fruit', 'dish', 'salad', 'bowl', 'plate', 'vegetable', 'food']]]","['7b22626c6174223a202273616e732d626f6174227d', '7b2270616e7473223a20227365726966222c20226368696c64223a2022626f6c642d6b6964227d', '7b2273747269706573223a20227365726966222c2022616972706c616e65223a2022617269616c222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b2261697270616c6e65223a202273616e732d616972706c616e65222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b22676c6173736573223a20227365726966227d', '7b226672756974223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_142___../1_pre-pilot/verification_round0_amt.csv_491,2
"[['http://object-naming-amore.upf.edu//2402621_1133765_supercat_ambiguous.png', ['train', 'outlet', 'car']], ['http://object-naming-amore.upf.edu//2405648_653946_singleton_obj.png', ['plane', 'dave', 'airplane', 'jet']], ['http://object-naming-amore.upf.edu//2354264_2322377_supercat_ambiguous.png', ['windshield', 'scooter', 'bike', 'moped', 'motorcycle']], ['http://object-naming-amore.upf.edu//2379246_554163_singleton_obj.png', ['sink', 'vanity', 'counter', 'cabinet', 'ladybug']], ['http://object-naming-amore.upf.edu//2359332_2838819_singleton_obj.png', ['hand', 'man', 'athlete', 'person', 'batter', 'player', 'baseball player']], ['http://object-naming-amore.upf.edu//2360992_3487785_singleton_obj.png', ['wall', 'trin', 'mirror', 'train', 'subway', 't-shirt', 'car']]]","['7b226f75746c6574223a20227365726966227d', '7b2264617665223a2022636f7572696572222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b2277696e64736869656c64223a20227365726966222c202262696b65223a2022626f6c642d6d6f746f726379636c65227d', '7b226c616479627567223a2022636f7572696572227d', '7b2268616e64223a20227365726966227d', '7b227472696e223a202273616e732d747261696e227d']",../1_crowdsourced/to_be_redone_amt.csv_143___../1_pre-pilot/verification_round0_amt.csv_507,2
"[['http://object-naming-amore.upf.edu//2406090_652959_singleton_obj.png', ['plane', 'airplane', 'airpalne']], ['http://object-naming-amore.upf.edu//2341744_940122_singleton_obj.png', ['girl', 'book', 't-shirt', 'woman']], ['http://object-naming-amore.upf.edu//2409796_233333_singleton_obj.png', ['mltorcycle', 'dirt bike', 'bike', 'motorbike', 'motorcycle']], ['http://object-naming-amore.upf.edu//2342094_3650408_supercat_unique.png', ['tea', 'coat', 'suit', 'jacket', 'tie']], ['http://object-naming-amore.upf.edu//2410976_361257_supercat_unique.png', ['top', 'tvshirt', 'sink', 'counter', 'shirt', 'wash basin', 't-shirt']], ['http://object-naming-amore.upf.edu//2326788_3157451_singleton_obj.png', ['tie', 'jacekt', 'coat', 'suit', 'eye glass', 'shirt', 'jacket']]]","['7b2261697270616c6e65223a202273616e732d616972706c616e65222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b22626f6f6b223a20227365726966227d', '7b226d6c746f726379636c65223a202273616e732d6d6f746f726379636c65222c20226d6f746f726379636c65223a2022626f6c642d62696b65227d', '7b22746561223a2022636f7572696572227d', '7b2274767368697274223a202273616e732d742d7368697274227d', '7b226a6163656b74223a202273616e732d6a61636b6574227d']",../1_crowdsourced/to_be_redone_amt.csv_144___../1_pre-pilot/verification_round0_amt.csv_510,2
"[['http://object-naming-amore.upf.edu//2410505_215912_singleton_obj.png', ['desk', 'table', 'window']], ['http://object-naming-amore.upf.edu//2406959_367865_seed_ambiguous.png', ['pitcher', 'lady', 'woman', 'watch']], ['http://object-naming-amore.upf.edu//2346922_895341_singleton_obj.png', ['spacebar', 'desk top', 'mouse', 'desk', 'table']], ['http://object-naming-amore.upf.edu//2379238_1359459_singleton_obj.png', ['snow', 'man', 'person', 'skier', 'shoe']], ['http://object-naming-amore.upf.edu//2332696_968862_supercat_ambiguous.png', ['jacket', 'suit', 'button', 'coat', 'tie', 'shirt', 'vest']], ['http://object-naming-amore.upf.edu//2417281_2960903_seed_ambiguous.png', ['sneaker', 'girl', 'player', 'person', 'shoe', 'tennis player', 'woman']]]","['7b2277696e646f77223a20227365726966227d', '7b2270697463686572223a20227365726966227d', '7b227370616365626172223a20227365726966227d', '7b22736e6f77223a20227365726966227d', '7b22627574746f6e223a20227365726966227d', '7b22736e65616b6572223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_145___../1_pre-pilot/verification_round0_amt.csv_513,2
"[['http://object-naming-amore.upf.edu//2370441_741801_singleton_obj.png', ['suv', 'reels', 'car', 'vehicle']], ['http://object-naming-amore.upf.edu//2365355_2513567_singleton_obj.png', ['airplanne', 'airplane', 'jet', 'plane']], ['http://object-naming-amore.upf.edu//1110_1066319_singleton_obj.png', ['floor', 'monitor', 'chair', 'carpet']], ['http://object-naming-amore.upf.edu//2385635_686677_supercat_ambiguous.png', ['cheese', 'pizza toppings', 'sauce', 'pizza', 'toppings', 'food']], ['http://object-naming-amore.upf.edu//2339909_3270683_singleton_obj.png', ['skater', 'cap', 'boy', 'skaetr', 'skateboarder', 'man']], ['http://object-naming-amore.upf.edu//2362912_2530526_singleton_obj.png', ['horse', 'field', 'shoe', 'this', 'grass', 'prairie', 'plane', 'grassland']]]","['7b227265656c73223a2022636f7572696572227d', '7b22616972706c616e6e65223a202273616e732d616972706c616e65222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b226d6f6e69746f72223a20227365726966227d', '7b227361756365223a20227365726966227d', '7b22736b61657472223a202273616e732d736b61746572227d', '7b2274686973223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_146___../1_pre-pilot/verification_round0_amt.csv_52,2
"[['http://object-naming-amore.upf.edu//2353988_2144861_seed_ambiguous.png', ['glasses', 'man', 'boy', 'guy']], ['http://object-naming-amore.upf.edu//2407712_274879_singleton_obj.png', ['cone', 'bench', 'furniture', 'chair']], ['http://object-naming-amore.upf.edu//2340486_3434614_singleton_obj.png', ['pony', 'horse', 'cow', 'horxe']], ['http://object-naming-amore.upf.edu//2385774_1293118_supercat_ambiguous.png', ['trees', 'athlete', 't-shirt', 'person', 'man', 'boy']], ['http://object-naming-amore.upf.edu//2370254_742312_singleton_obj.png', ['boy', 'man', 'skater', 'rv', 'skateboarder', 'person']], ['http://object-naming-amore.upf.edu//2365153_2419347_seed_ambiguous.png', ['axis', 'women', 'boy', 'shirt', 'soccer player', 'man', 'player', 'person']]]","['7b22676c6173736573223a20227365726966227d', '7b22636f6e65223a20227365726966227d', '7b22686f727865223a202273616e732d686f727365227d', '7b227472656573223a20227365726966227d', '7b227276223a2022636f7572696572227d', '7b2261786973223a2022636f7572696572227d']",../1_crowdsourced/to_be_redone_amt.csv_147___../1_pre-pilot/verification_round0_amt.csv_53,2
"[['http://object-naming-amore.upf.edu//2322207_3471976_singleton_obj.png', ['sofa', 'couch', 'chair', 'coouch']], ['http://object-naming-amore.upf.edu//2376636_2515965_singleton_obj.png', ['plane', 'windshield', 'airplane', 'aircraft']], ['http://object-naming-amore.upf.edu//2346130_1998567_singleton_obj.png', ['person', 'skier', 'wavy', 'man']], ['http://object-naming-amore.upf.edu//2360154_1842960_seed_ambiguous.png', ['hotdog', 'chili', 'bun', 'shadow', 'chili dog', 'food']], ['http://object-naming-amore.upf.edu//2350484_1707804_supercat_unique.png', ['brick', 'cupboard', 'dresser', 'cabinet', 'tie', 'shirt']], ['http://object-naming-amore.upf.edu//2401876_395017_supercat_unique.png', ['sfoa', 'eye class', 'sofa', 'shirt', 'woman', 'person', 'mother', 'lady']]]","['7b22636f6f756368223a202273616e732d636f756368222c2022736f6661223a2022626f6c642d636f756368227d', '7b2277696e64736869656c64223a20227365726966222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b2277617679223a2022636f7572696572227d', '7b22736861646f77223a20227365726966227d', '7b22627269636b223a2022636f7572696572227d', '7b2273666f61223a202273616e732d736f6661227d']",../1_crowdsourced/to_be_redone_amt.csv_148___../1_pre-pilot/verification_round0_amt.csv_57,2
"[['http://object-naming-amore.upf.edu//2402426_3816599_singleton_obj.png', ['desk', 'samosa', 'table']], ['http://object-naming-amore.upf.edu//2411656_647263_supercat_unique.png', ['ring', 'suit', 'blazer', 'jacket']], ['http://object-naming-amore.upf.edu//2364974_637331_supercat_unique.png', ['pizza oven', 'table', 'pizza', 'oven', 'shelf']], ['http://object-naming-amore.upf.edu//2400747_1155433_singleton_obj.png', ['man', 'skateboarder', 'woman', 'skater', 'person']], ['http://object-naming-amore.upf.edu//2347427_2545588_singleton_obj.png', ['man', 'pant', 'baseball player', 'baseball playr', 'player', 'shoe', 'batter']], ['http://object-naming-amore.upf.edu//2403786_349413_singleton_obj.png', ['skateboarder', 'girl', 'woman', 'skter', 'skater', 'person', 'shoe']]]","['7b2273616d6f7361223a2022636f7572696572227d', '7b2272696e67223a20227365726966227d', '7b227368656c66223a20227365726966227d', '7b22776f6d616e223a20227365726966227d', '7b226261736562616c6c20706c617972223a202273616e732d6261736562616c6c20706c61796572227d', '7b22736b746572223a202273616e732d736b61746572227d']",../1_crowdsourced/to_be_redone_amt.csv_149___../1_pre-pilot/verification_round0_amt.csv_576,2
"[['http://object-naming-amore.upf.edu//2401908_394638_supercat_ambiguous.png', ['shirt', 'capris', 'man', 'boy']], ['http://object-naming-amore.upf.edu//2324345_2841360_singleton_obj.png', ['tray', 'desk', 'cord', 'keyboard']], ['http://object-naming-amore.upf.edu//2417984_3453847_supercat_unique.png', ['food', 'mustard', 'bun', 'plate']], ['http://object-naming-amore.upf.edu//2365654_1840835_supercat_unique.png', ['hotdog', 'termac', 'burger', 'sandwich', 'food', 'bun']], ['http://object-naming-amore.upf.edu//2354891_834698_singleton_obj.png', ['man', 'person', 'woman', 'souffle', 'lady', 'girl']], ['http://object-naming-amore.upf.edu//2354488_1712215_singleton_obj.png', ['britain', 'athlete', 'woman', 'dress', 'player', 'girl', 'tennis player', 'bat']]]","['7b22636170726973223a20227365726966227d', '7b22636f7264223a20227365726966227d', '7b226d757374617264223a20227365726966227d', '7b227465726d6163223a2022636f7572696572227d', '7b22736f7566666c65223a2022636f7572696572227d', '7b226272697461696e223a2022636f7572696572227d']",../1_crowdsourced/to_be_redone_amt.csv_14___../1_pre-pilot/verification_round0_amt.csv_119,2
"[['http://object-naming-amore.upf.edu//2414071_160481_seed_ambiguous.png', ['goat', 'sheep', 'hills', 'ram']], ['http://object-naming-amore.upf.edu//2351719_2458947_singleton_obj.png', ['airplane', 'plane', 'aircraft', 'ground']], ['http://object-naming-amore.upf.edu//2338720_3699986_singleton_obj.png', ['goat', 'grass', 'animal', 'sheep']], ['http://object-naming-amore.upf.edu//2339254_2171402_supercat_unique.png', ['children', 'boy', 'person', 'child', 'pick', 'kid']], ['http://object-naming-amore.upf.edu//2375688_580310_supercat_unique.png', ['pot', 'sacuce', 'table', 'desk', 'vase', 'counter']], ['http://object-naming-amore.upf.edu//2416197_2866088_supercat_ambiguous.png', ['cap', 'pitcher', 'baseball player', 'athlete', 'person', 'serving', 'man', 'player']]]","['7b2268696c6c73223a2022636f7572696572227d', '7b2267726f756e64223a20227365726966222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b226772617373223a20227365726966227d', '7b227069636b223a2022636f7572696572222c20226b6964223a2022626f6c642d6368696c642c6368696c6472656e227d', '7b22736163756365223a2022636f7572696572227d', '7b2273657276696e67223a2022636f7572696572227d']",../1_crowdsourced/to_be_redone_amt.csv_150___../1_pre-pilot/verification_round0_amt.csv_58,2
"[['http://object-naming-amore.upf.edu//2371036_3855311_singleton_obj.png', ['coat', 'animal', 'coaat', 'bear']], ['http://object-naming-amore.upf.edu//2392798_1225773_seed_ambiguous.png', ['bike', 'motorbike', 'luxury', 'motorcycle']], ['http://object-naming-amore.upf.edu//2378669_1366435_singleton_obj.png', ['aircraft', 'airplane', 'railcar', 'plane']], ['http://object-naming-amore.upf.edu//2332964_2813900_singleton_obj.png', ['tree', 'man', 'skier', 'jacket', 'person', 'snowboarder']], ['http://object-naming-amore.upf.edu//2381146_706907_supercat_unique.png', ['cake', 'camera', 'coat', 'jacket', 'book', 'man']], ['http://object-naming-amore.upf.edu//2328341_3020256_singleton_obj.png', ['pant', 'man', 'girl', 'snowboaredr', 'snowboarder', 'woman', 'socket', 'person']]]","['7b22636f616174223a202273616e732d636f6174227d', '7b226c7578757279223a2022636f7572696572222c20226d6f746f726379636c65223a2022626f6c642d6d6f746f7262696b65227d', '7b227261696c636172223a2022636f7572696572222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b2274726565223a20227365726966227d', '7b22626f6f6b223a20227365726966222c2022636f6174223a2022626f6c642d63616b65227d', '7b22736e6f77626f6172656472223a202273616e732d736e6f77626f6172646572227d']",../1_crowdsourced/to_be_redone_amt.csv_151___../1_pre-pilot/verification_round0_amt.csv_60,2
"[['http://object-naming-amore.upf.edu//2377834_2126239_supercat_unique.png', ['tent', 'umbrella', 'umbrrella']], ['http://object-naming-amore.upf.edu//2320289_2786620_singleton_obj.png', ['airplane', 'aiirplane', 'plane', 'wing']], ['http://object-naming-amore.upf.edu//2364721_1684606_seed_ambiguous.png', ['shoe', 'lady', 't-shirt', 't-shhirt', 'woman']], ['http://object-naming-amore.upf.edu//2417279_2761686_singleton_obj.png', ['toy', 'jacket', 'keep', 'doll', 'shirt']], ['http://object-naming-amore.upf.edu//2417460_3467168_seed_ambiguous.png', ['guy', 'skateboarder', 'skager', 'skateboard', 'skater', 'person', 'man']], ['http://object-naming-amore.upf.edu//2376682_570611_supercat_unique.png', ['jacket', 'clothing', 'sseater', 'sweater', 'scarf', 'shirt', 'coat']]]","['7b22756d627272656c6c61223a202273616e732d756d6272656c6c61227d', '7b2261696972706c616e65223a202273616e732d616972706c616e65222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b22742d736868697274223a202273616e732d742d7368697274227d', '7b226b656570223a2022636f7572696572227d', '7b22736b61676572223a202273616e732d736b61746572227d', '7b2273736561746572223a202273616e732d73776561746572227d']",../1_crowdsourced/to_be_redone_amt.csv_152___../1_pre-pilot/verification_round0_amt.csv_602,2
"[['http://object-naming-amore.upf.edu//2392281_1231886_seed_ambiguous.png', ['jakcet', 'coat', 'jacket']], ['http://object-naming-amore.upf.edu//2371350_2431970_supercat_unique.png', ['skin', 'elephant', 'bed', 'fence']], ['http://object-naming-amore.upf.edu//2365655_2539375_supercat_unique.png', ['sanndwich', 'sandwich', 'bread', 'food', 'plate']], ['http://object-naming-amore.upf.edu//2341822_2141000_supercat_ambiguous.png', ['woman', 'person', 'arhway', 'lady', 'man']], ['http://object-naming-amore.upf.edu//2372664_3732300_seed_ambiguous.png', ['boy', 'player', 'soccer player', 'soccer palyer', 'kid', 'child', 'person']], ['http://object-naming-amore.upf.edu//2410617_3805853_supercat_unique.png', ['chub', 'shoe', 'skateboard', 'house', 'gazebo', 'building', 'skateboarder']]]","['7b226a616b636574223a202273616e732d6a61636b6574227d', '7b22736b696e223a20227365726966227d', '7b2273616e6e6477696368223a202273616e732d73616e6477696368227d', '7b22617268776179223a2022636f7572696572227d', '7b22736f636365722070616c796572223a202273616e732d736f6363657220706c61796572222c20226368696c64223a2022626f6c642d6b6964227d', '7b2263687562223a2022636f7572696572227d']",../1_crowdsourced/to_be_redone_amt.csv_153___../1_pre-pilot/verification_round0_amt.csv_611,2
"[['http://object-naming-amore.upf.edu//2376974_1746854_singleton_obj.png', ['emu', 'ostrich', 'bird', 'glaced']], ['http://object-naming-amore.upf.edu//2413019_3801897_supercat_ambiguous.png', ['woman', 'lady', 'jacket', 'pole']], ['http://object-naming-amore.upf.edu//2355485_2375691_singleton_obj.png', ['desk', 'pile', 'table', 'book']], ['http://object-naming-amore.upf.edu//2366876_625537_singleton_obj.png', ['carpet', 'rug', 'floor', 'pillow', 'table', 'furniture']], ['http://object-naming-amore.upf.edu//2391013_1244925_supercat_ambiguous.png', ['topping', 'pepperoni', 'food', 'cheese', 'pizza', 'cake']], ['http://object-naming-amore.upf.edu//2352949_1879809_singleton_obj.png', ['person', 'baseball player', 'catcher', 'umpire', 'man', 'child', 'bat', 'shoe']]]","['7b22676c61636564223a2022636f7572696572227d', '7b22706f6c65223a20227365726966227d', '7b2270696c65223a20227365726966227d', '7b2270696c6c6f77223a20227365726966222c2022727567223a2022626f6c642d636172706574227d', '7b227065707065726f6e69223a20227365726966227d', '7b22626174223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_154___../1_pre-pilot/verification_round0_amt.csv_63,2
"[['http://object-naming-amore.upf.edu//2343813_2220291_supercat_unique.png', ['curtain', 'cake', 'glass', 'tie']], ['http://object-naming-amore.upf.edu//2334405_3367303_singleton_obj.png', ['propeller', 'plane', 'airplane', 'pole']], ['http://object-naming-amore.upf.edu//2371341_2524054_supercat_unique.png', ['bazer', 'blazer', 'suit', 'jacket']], ['http://object-naming-amore.upf.edu//2385022_522886_seed_ambiguous.png', ['girl', 'woman', 'shirts', 'lady', 'fuslage', 'person']], ['http://object-naming-amore.upf.edu//2374375_1984147_singleton_obj.png', ['man', 'aprons', 'guy', 'cap', 'lifeguard', 'person']], ['http://object-naming-amore.upf.edu//2414190_158143_singleton_obj.png', ['woman', 'girl', 'boy', 'cords', 'child', 't-shirt', 'kite', 'person']]]","['7b22676c617373223a20227365726966222c20226375727461696e223a2022617269616c227d', '7b2270726f70656c6c6572223a20227365726966222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b2262617a6572223a202273616e732d626c617a6572227d', '7b226675736c616765223a2022636f7572696572227d', '7b226170726f6e73223a2022636f7572696572227d', '7b22636f726473223a2022636f7572696572227d']",../1_crowdsourced/to_be_redone_amt.csv_155___../1_pre-pilot/verification_round0_amt.csv_65,2
"[['http://object-naming-amore.upf.edu//1159940_1599400_singleton_obj.png', ['plane', 'airplane', 'airplne']], ['http://object-naming-amore.upf.edu//2416256_1056769_singleton_obj.png', ['shadow', 'hotdog', 'burger', 'bun']], ['http://object-naming-amore.upf.edu//2345839_1969585_supercat_unique.png', ['woman', 'girl', 'lady', 'wojan', 'biker']], ['http://object-naming-amore.upf.edu//2409509_1620077_singleton_obj.png', ['bags', 'pavement', 'walkway', 'bridge', 'street', 'road']], ['http://object-naming-amore.upf.edu//2339369_2619131_singleton_obj.png', ['batter', 'helmet', 'player', 'hat', 'man', 'baseball player']], ['http://object-naming-amore.upf.edu//2339324_3457442_seed_ambiguous.png', ['pictre', 'cabinet', 'frame', 'doll', 'teddy bear', 'bear', 'picture']]]","['7b22616972706c6e65223a202273616e732d616972706c616e65222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b22736861646f77223a20227365726966227d', '7b22776f6a616e223a202273616e732d776f6d616e227d', '7b2262616773223a20227365726966227d', '7b22686174223a20227365726966227d', '7b22706963747265223a202273616e732d70696374757265227d']",../1_crowdsourced/to_be_redone_amt.csv_156___../1_pre-pilot/verification_round0_amt.csv_650,2
"[['http://object-naming-amore.upf.edu//2361317_3363012_supercat_ambiguous.png', ['vase', 'ago', 'pot']], ['http://object-naming-amore.upf.edu//2351640_2346645_singleton_obj.png', ['wineglass', 'glass', 'window', 'cup']], ['http://object-naming-amore.upf.edu//2416392_3059796_singleton_obj.png', ['bowl', 'install', 'knife', 'dish', 'plate']], ['http://object-naming-amore.upf.edu//2356280_3772724_singleton_obj.png', ['phone', 'mobile', 'woman', 'av', 'hand', 'cellphone']], ['http://object-naming-amore.upf.edu//2412464_193853_seed_ambiguous.png', ['pan', 'pizza', 'skillet', 'pot', 'food', 'vegetable']], ['http://object-naming-amore.upf.edu//2342802_2923976_supercat_unique.png', ['burger', 'sauce', 'food', 'cheese', 'mustard', 'line', 'hotdog']]]","['7b2261676f223a2022636f7572696572227d', '7b2277696e646f77223a20227365726966227d', '7b22696e7374616c6c223a2022636f7572696572227d', '7b226176223a2022636f7572696572227d', '7b22766567657461626c65223a20227365726966227d', '7b226c696e65223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_157___../1_pre-pilot/verification_round0_amt.csv_657,2
"[['http://object-naming-amore.upf.edu//2330648_3055523_supercat_ambiguous.png', ['ski', 'sker', 'skier', 'man']], ['http://object-naming-amore.upf.edu//2360825_2246634_supercat_unique.png', ['pendant', 'guy', 't-shirt', 'man']], ['http://object-naming-amore.upf.edu//2382422_1328801_seed_ambiguous.png', ['plyaer', 'player', 'man', 'guy']], ['http://object-naming-amore.upf.edu//2349132_877107_supercat_unique.png', ['fruit', 'food', 'hoist', 'lemon', 'orange', 'oranges']], ['http://object-naming-amore.upf.edu//2351378_2324409_seed_ambiguous.png', ['guy', 'cap', 'santa', 'person', 'preson', 'man']], ['http://object-naming-amore.upf.edu//2356557_3561387_singleton_obj.png', ['wheel', 'man', 'sensor', 'boy', 'skateboarder', 'person', 't-shirt', 'skater']]]","['7b22736b6572223a202273616e732d736b696572227d', '7b2270656e64616e74223a20227365726966227d', '7b22706c79616572223a202273616e732d706c61796572227d', '7b22686f697374223a2022636f7572696572222c20226f72616e6765223a2022626f6c642d6f72616e676573227d', '7b22707265736f6e223a202273616e732d706572736f6e227d', '7b2273656e736f72223a2022636f7572696572227d']",../1_crowdsourced/to_be_redone_amt.csv_158___../1_pre-pilot/verification_round0_amt.csv_66,2
"[['http://object-naming-amore.upf.edu//2359386_2498928_singleton_obj.png', ['cap', 'ribs', 'hat']], ['http://object-naming-amore.upf.edu//2395305_455987_supercat_unique.png', ['house', 'keyring', 'car', 'garage']], ['http://object-naming-amore.upf.edu//2375866_578561_singleton_obj.png', ['airplane wing', 'plane', 'aiprlane', 'wing', 'airplane']], ['http://object-naming-amore.upf.edu//2373944_2797398_seed_ambiguous.png', ['tie', 'eye glaass', 'eye glass', 'guy', 'man', 'person']], ['http://object-naming-amore.upf.edu//2324423_2767930_supercat_ambiguous.png', ['person', 'cyclist', 'lady', 'cycilst', 'girl', 'woman']], ['http://object-naming-amore.upf.edu//2342088_2577865_singleton_obj.png', ['boy', 'man', 'skater', 'board', 'person', 'skateboarder', 'skateboard']]]","['7b2272696273223a2022636f7572696572227d', '7b226b657972696e67223a2022636f7572696572227d', '7b22616970726c616e65223a202273616e732d616972706c616e65222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b2265796520676c61617373223a202273616e732d65796520676c617373227d', '7b22637963696c7374223a202273616e732d6379636c697374227d', '7b22626f617264223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_159___../1_pre-pilot/verification_round0_amt.csv_673,2
"[['http://object-naming-amore.upf.edu//2357698_809651_supercat_unique.png', ['bathrom', 'coat', 'jacket', 'man']], ['http://object-naming-amore.upf.edu//2366928_1695643_supercat_unique.png', ['child', 'girl', 'pretzel', 'spoon']], ['http://object-naming-amore.upf.edu//2408243_1679001_seed_ambiguous.png', ['aircraft', 'tree', 'airplane', 'plane']], ['http://object-naming-amore.upf.edu//2409590_238449_supercat_unique.png', ['t-shirt', 'jacket', 'shirt', 'arm', 'face']], ['http://object-naming-amore.upf.edu//2372913_734908_supercat_unique.png', ['shirt', 'face', 'jacket', 't-shirt', 'blouse', 'tie']], ['http://object-naming-amore.upf.edu//2348898_2338926_singleton_obj.png', ['game', 'woman', 'batter', 'softball player', 'helmet', 'ball', 'player', 'girl', 'person']]]","['7b2262617468726f6d223a2022636f7572696572227d', '7b22707265747a656c223a20227365726966227d', '7b2274726565223a20227365726966222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b2266616365223a20227365726966227d', '7b2266616365223a20227365726966227d', '7b2267616d65223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_15___../1_pre-pilot/verification_round0_amt.csv_12,2
"[['http://object-naming-amore.upf.edu//2386280_1287708_supercat_unique.png', ['jacket', 'coat', 'bike', 'clothing']], ['http://object-naming-amore.upf.edu//2397176_436448_singleton_obj.png', ['kite', 'bird', 'cliff', 'parrot']], ['http://object-naming-amore.upf.edu//2344425_3160835_singleton_obj.png', ['carpet', 'pan', 'chair', 'floor']], ['http://object-naming-amore.upf.edu//2410864_361870_singleton_obj.png', ['skater', 'child', 'boy', 'shirt', 'kid', 'skateboarder']], ['http://object-naming-amore.upf.edu//2381560_703719_singleton_obj.png', ['person', 'man', 'skateboarder', 'shoe', 'skater', 'leaves']], ['http://object-naming-amore.upf.edu//2357430_1676616_seed_ambiguous.png', ['shoe', 'frisbee player', 'skirt', 'womn', 'player', 'girl', 'woman', 'cap']]]","['7b2262696b65223a20227365726966227d', '7b22636c696666223a20227365726966227d', '7b2270616e223a20227365726966227d', '7b227368697274223a20227365726966222c20226b6964223a2022626f6c642d6368696c64227d', '7b226c6561766573223a20227365726966227d', '7b22776f6d6e223a202273616e732d776f6d616e227d']",../1_crowdsourced/to_be_redone_amt.csv_160___../1_pre-pilot/verification_round0_amt.csv_68,2
